#I, J,  Distance,  diameter
446,1214,13.196,3.908
963,2216,17.094,2.3677
3567,3727,9.3755,2.429
446,1418,16.591,3.5554
2155,2216,9.8211,4.1111
1898,2216,16.945,2.1871
875,2130,10.251,3.9877
875,1478,8.2249,3.6287
3374,3566,17.893,1.3673
124,3064,18.948,2.948
2180,3064,11.559,2.7245
75,3064,23.447,3.0149
3064,3585,8.1487,2.1427
6,21,14.043,5.2784
1052,1442,11.318,4.1779
2411,3260,18.776,3.0634
1127,1442,15.384,3.4324
284,1519,15.644,2.8022
1127,2415,13.317,2.8774
1127,2413,11.499,1.7942
1519,2841,21.598,3.288
1167,2607,13.655,3.3591
2607,2675,6.4066,3.805
312,2904,8.9358,2.7076
17,94,21.011,4.7183
2841,3795,10.571,2.4455
2396,3795,16.983,1.706
2232,2233,14.139,3.0444
1951,2064,7.897,3.9896
1951,2233,10.511,2.232
3289,3430,8.7083,2.9872
2232,2790,16.637,3.2077
528,2096,13.39,3.7641
741,2903,9.5841,3.2834
735,2124,15.281,4.2049
656,3868,17.682,1.309
735,3856,14.957,1.8473
1912,2903,14.733,3.2083
1938,3140,13.494,1.9464
2639,3140,9.8352,2.2862
1943,3105,9.1171,3.3252
179,1979,15.208,3.4979
459,735,9.3311,4.9652
2599,3105,15.384,2.5905
735,1076,8.8195,4.9969
1114,2276,9.3824,3.3018
128,1979,20.381,2.5922
462,2324,16.329,3.8713
1114,2160,19.482,2.9584
1403,2324,11.128,4.0497
299,961,13.501,3.9105
453,462,13.527,3.8362
299,2925,10.708,3.7398
198,868,19.88,4.5513
462,1007,19.564,3.4326
961,1100,21.241,2.9338
462,2585,20.483,3.5846
462,1792,19.632,2.4019
482,579,17.089,4.2376
871,3452,10.495,3.1985
1899,2473,17.389,3.1596
3429,3452,11.413,2.8089
2865,3273,11.692,3.215
2473,3286,9.564,2.796
1043,3563,11.643,3.0156
1034,1043,11.792,4.3237
1188,2216,13.201,3.346
2792,3699,7.3964,2.2477
1057,3727,11.536,2.2078
1232,3727,13.729,2.9175
2225,2504,7.1827,3.3963
2479,2792,10.482,3.0949
1057,2225,7.2722,3.543
1898,2155,15.395,3.5727
1375,1418,10.474,3.9105
1898,2504,20.878,1.3685
875,1898,16.628,3.6303
1000,1375,10.264,3.2508
63,1000,11.79,4.9556
2129,3568,7.4394,2.7442
2129,2180,16.057,3.4578
1707,3281,11.286,3.0592
2129,3064,12.713,2.6705
75,124,23.727,5.2654
3374,3490,8.5374,3.1683
21,55,12.069,6.7222
284,3374,13.366,2.8341
55,421,18.099,4.8128
284,3490,12.543,2.073
6,55,18.673,4.4383
1167,3585,12.36,3.0121
20,421,27.403,3.3028
6,75,22.585,5.2168
75,1167,18.999,5.5972
1519,1863,9.2412,2.3557
6,20,26.187,3.5956
3019,3260,19.678,2.9803
2411,2904,16.021,2.0695
3466,3600,6.6274,2.0787
1167,2675,15.664,3.105
2904,3019,12.948,2.4444
17,20,10.562,7.2955
1168,2282,12.639,2.7995
1195,3019,14.799,3.8685
2985,3466,6.1857,2.7009
2841,3296,21.723,2.1128
1195,2904,13.298,2.7426
2607,3104,11.733,2.9897
3296,3795,10.867,1.6591
312,3104,13.89,3.1399
2786,2839,13.762,3.4773
1168,2394,9.099,1.7354
880,2510,14.471,3.6089
2972,3104,13.947,2.6228
880,1179,14.013,3.3318
3489,3641,6.5628,2.8823
580,3289,13.001,3.0058
2233,3556,17.164,2.9981
580,3697,16.979,2.6261
580,1562,16.253,3.1206
1229,3556,11.567,2.9288
1229,2790,16.38,2.4614
2385,3287,8.6631,3.2304
1467,2096,11.172,3.3449
3287,3464,16.663,1.619
666,1467,20.933,1.6927
2096,2903,18.493,2.3924
1467,2903,12.266,2.6703
741,1467,14.439,4.0062
1912,2096,20.136,2.783
459,2124,18.93,2.8553
658,3140,9.3826,3.3746
3105,3290,8.812,3.465
658,2639,7.7384,3.6883
490,3459,15.318,2.486
1531,1943,11.079,3.5682
1938,2639,10.11,3.6821
179,1531,11.445,3.8183
656,1786,11.708,4.1172
735,1979,16.089,2.6284
2705,3459,11.66,3.1157
1938,3246,9.1725,2.2238
2639,3246,7.6666,3.4213
490,1076,10.941,3.6849
299,490,12.043,3.28
1531,3375,18.493,2.1905
608,3246,12.538,3.7483
128,1736,22.401,3.3096
961,2705,13.72,3.3792
938,2324,12.608,3.1774
299,2705,14.024,3.283
462,938,7.52,3.8904
1403,3375,11.276,3.2219
1007,2324,15.238,3.4551
198,376,12.497,4.5925
1007,1403,14.542,2.9844
608,749,23.923,3.4298
579,2160,12.899,2.2503
198,749,18.711,3.2822
1007,2840,11.829,3.0412
376,749,10.447,3.7562
1265,3130,20.668,1.0424
1792,2585,9.1228,3.2686
376,854,16.763,3.0486
871,1792,8.6033,4.0932
376,837,15.761,4.1819
837,854,10.021,3.4699
837,2176,14.065,2.7748
298,854,11.917,3.8726
298,837,12.245,3.0745
1265,2406,16.456,2.4214
1243,3273,11.207,3.41
298,1243,15.755,4.224
1034,2473,17.572,3.6102
1921,3429,8.8508,3.1895
2225,3567,13.777,1.0857
1188,2504,13.315,3.0301
2155,2504,16.089,2.7339
3685,3885,4.7836,1.0149
264,1898,21.202,3.145
3001,3566,10.035,2.0071
1375,3568,14.128,2.1051
21,63,19.534,4.8543
124,2129,13.374,3.681
421,3281,17.086,2.3321
2180,3585,12.394,2.7374
21,75,29.341,5.3185
1226,1863,8.6728,3.9948
284,1226,17.602,2.5189
20,55,21.954,5.0727
1226,1519,11.896,4.9347
1442,2413,8.5539,3.2139
2411,3019,10.639,2.7698
2735,3600,8.1615,2.3098
1168,2839,11.325,2.6421
2735,3466,6.9063,2.898
1681,2413,11.979,3.3147
2282,2394,8.0952,1.8647
2396,2841,17.05,2.0689
2786,3019,14.098,3.5221
2394,3420,8.2984,3.327
2786,3489,13.283,2.1679
1951,2972,23.446,1.5843
580,3569,9.5083,2.9591
720,1229,17.043,3.9483
