#I, J,  Distance,  diameter
2,11,13.755,5.2573
19,858,12.135,2.4217
920,1111,10.418,2.114
2,1309,18.386,3.8817
57,1309,17.629,4.1042
920,6051,8.7174,2.3262
1612,3223,14.48,2.5491
403,2976,15.18,2.8749
317,366,16.751,3.213
22,217,19.745,3.3177
26,800,27.554,2.6764
26,246,19.165,4.0478
403,901,10.179,4.0058
586,4146,11.727,2.3321
246,426,14.449,4.0529
22,197,18.075,5.0783
77,1271,18.53,4.0341
277,700,10.995,3.2435
46,426,14.039,4.6755
10,1126,15.565,2.5486
51,77,23.446,3.2251
46,51,8.4931,5.7796
10,1977,10.334,3.4694
77,108,19.369,3.4749
77,275,27.507,3.6431
108,275,10.071,5.0682
51,98,20.421,3.1107
896,1977,10.342,3.3262
89,896,11.396,3.4315
896,897,9.0561,4.2615
1859,4477,9.2851,3.1477
40,1860,14.388,3.8322
228,259,10.104,4.8917
898,994,7.0938,2.7502
859,898,12.091,3.4592
458,3073,20.857,2.4441
64,210,14.176,2.8631
609,994,12.705,2.8728
176,1306,12.081,2.9285
176,424,16.019,3.7081
2842,3073,15.23,2.2929
1764,3803,13.195,2.5676
1415,2842,20.128,2.9113
87,371,14.352,3.5052
253,447,23.747,3.5944
3803,3952,7.221,2.0751
263,3727,15.907,2.2109
2299,3003,24.769,1.6566
459,4438,11.05,2.8224
1437,4047,14.946,2.6482
2168,3692,8.1154,2.9473
767,3003,11.815,1.9704
370,767,19.592,2.4136
3266,3692,10.903,2.1283
4934,5685,9.8758,1.275
2556,3266,21.641,2.5392
1413,1611,23.088,2.0036
425,728,8.831,3.1049
276,5087,9.1359,2.3387
721,728,7.3728,3.7222
1120,3696,18.391,2.6377
3696,3697,10.765,2.0897
1264,4620,13.55,3.0001
276,4593,9.6408,2.6757
2388,5371,10.841,2.433
2283,3001,7.4689,3.1281
1731,2388,11.157,2.8084
1713,2712,8.5706,3.0654
2283,3564,9.286,3.0197
3098,3614,13.241,3.0606
4597,4764,7.0813,1.6564
1108,1978,12.132,3.989
1236,1299,6.6325,3.39
1123,1864,15.686,3.0078
11,858,12.337,3.7336
920,2464,7.4135,2.9446
11,155,18.019,4.2732
155,858,9.1841,3.4378
1046,2976,15.273,3.1878
19,155,17.987,3.3916
646,6051,9.3232,1.7264
317,1612,17.512,3.011
366,403,14.847,3.8005
2,57,22.189,4.0818
123,646,16.74,4.2804
403,3021,13.14,2.9254
57,800,10.914,4.5047
26,57,27.914,4.4865
317,1441,20.051,1.1059
3,800,14.81,4.2935
403,700,14.298,2.4774
277,3021,10.408,2.7642
713,1614,16.949,2.4586
277,713,22.552,1.7843
1441,4045,10.356,3.379
861,4857,9.9553,2.5942
3,26,15.188,5.9633
