#I, J,  Distance,  diameter
426,1271,11.366,2.5691
700,1126,10.727,3.3984
3,65,21.184,4.8296
217,1614,9.5679,2.958
1441,2345,13.589,2.3656
65,197,16.054,3.1567
3563,4857,9.0026,2.1264
277,1977,16.199,3.0625
2345,3607,12.738,2.4882
26,40,17.442,4.6283
98,275,10.014,3.3157
83,713,14.334,4.0519
3563,4893,12.327,1.9324
65,228,21.18,2.7912
40,46,21.488,3.6708
83,89,11.96,4.9562
10,4477,12.668,1.5215
10,1859,14.259,2.1198
802,1859,7.707,2.6978
275,458,11.674,4.8734
89,897,8.7979,4.2287
40,235,15.216,2.9018
98,244,9.7359,4.3967
89,210,15.992,4.3786
210,897,14.356,3.9418
242,897,11.348,3.3982
458,994,18.271,1.7885
994,3073,15.565,2.2544
210,242,12.498,4.4528
64,242,13.18,2.7799
424,714,14.697,2.2544
64,893,15.136,1.8922
331,893,16.758,2.6931
64,1334,10.683,4.1394
609,3357,8.4284,2.9277
129,253,16.276,4.5151
129,237,24.77,2.192
371,993,12.759,3.6778
176,993,14.216,2.6566
1764,4365,10.737,1.9529
893,1334,10.486,2.8789
2842,3357,17.275,1.9184
424,1793,13.486,3.5271
447,3357,17.313,2.1672
87,92,10.48,5.2082
1334,6023,12.48,2.068
447,1415,10.538,2.8564
237,1481,27.269,1.6898
263,1793,23.061,2.8025
263,5891,18.517,2.3754
2299,3952,12.565,2.4239
632,1045,12.733,2.7174
1437,2177,19.178,2.3519
632,1762,19.475,3.7927
632,3590,14.682,2.603
459,5963,11.908,2.3728
3969,4958,8.4052,1.8366
4958,5685,5.9342,2.5571
459,3692,13.194,2.7146
459,3266,13.388,2.1222
370,1437,23.345,2.2074
2168,2713,13.346,2.0652
2168,2556,12.623,2.7059
279,473,9.2669,3.364
279,4934,22.127,2.1646
798,1041,12.701,3.0728
798,3927,28.369,2.0001
462,2556,17.076,1.8579
370,2176,10.249,2.2863
279,1632,11.436,2.7927
2556,3927,16.743,2.4588
1611,2216,17.083,3.0671
2176,2216,15.719,2.2344
1611,2176,10.758,1.7306
2176,4584,12.546,2.3279
1573,4584,7.4417,3.0597
1632,2991,8.6298,3.2053
1632,2661,15.391,2.6396
1077,1632,18.175,1.6269
1077,2661,17.573,1.9341
1120,2661,16.58,1.8441
425,1413,9.2563,2.9182
1077,2481,15.558,2.4365
1335,1413,11.354,2.9713
728,2173,6.9024,2.953
1335,2511,7.2037,3.8863
2351,5087,8.2044,2.117
276,1077,18.268,2.0639
425,1335,10.178,2.8855
2173,3099,20.855,2.4325
3001,3951,13.724,2.504
425,721,12.674,2.411
1120,3697,17.708,2.1669
276,2217,9.955,2.0102
1731,5361,12.321,1.9732
2217,3001,10.601,3.1186
721,1264,21.569,1.6154
276,5956,12.851,1.9301
966,1731,21.922,1.7905
4593,5956,11.522,1.3924
966,5371,7.6092,2.3342
3768,4620,9.6786,2.4872
266,3696,20.17,2.7343
3768,6024,9.8849,1.726
4620,6024,13.4,1.4696
3421,5956,12.075,1.9266
677,999,12.327,2.5656
2175,4593,9.0068,2.6057
4398,6024,12.045,1.9087
677,966,16.32,2.8833
2552,2946,19.171,2.1459
3421,3614,12.851,2.387
2380,2946,15.631,2.4743
266,1372,13.018,3.1994
448,966,14.283,2.2518
1731,2618,13.31,2.4153
448,2388,7.5661,2.9229
2388,2618,10.97,2.5597
2175,3421,10.592,2.921
448,2618,10.806,3.5283
1372,1916,11.382,2.6848
1978,4764,8.2167,2.3598
1236,3421,16.293,2.4468
1299,3421,14.536,2.3491
1372,1468,7.0814,2.9719
461,1916,10.633,4.0458
2553,3022,11.834,2.1969
1486,3561,10.441,2.9922
448,4339,15.061,2.3103
2553,5560,7.1908,2.2948
1123,1468,9.7905,2.9623
461,5957,10.999,2.3689
388,1603,16.084,3.1879
4339,4726,11.534,3.1333
388,5232,12.571,2.417
4005,5560,9.7041,2.1277
3562,5369,9.9813,1.7601
1200,4005,18.859,1.682
1111,2464,9.5437,2.7242
1930,3223,12.202,2.9537
646,1111,7.8933,4.0895
1612,1930,14.845,2.1167
403,1046,26.722,2.7854
123,6051,15.567,1.5833
22,155,21.427,3.2632
123,586,15.176,2.3694
861,901,10.347,3.711
10,861,20.503,2.1508
4045,4857,6.8354,2.2416
1126,1977,13.897,2.6886
108,2174,21.631,1.5817
77,98,24.981,2.7435
5758,5959,9.8565,1.9533
10,168,9.6625,5.0454
168,4477,9.5294,2.6342
10,802,13.019,3.688
802,896,8.682,2.4045
4477,4893,13.858,1.2605
235,1860,12.581,2.5027
609,3073,13.383,2.1802
1870,3073,11.088,2.3285
993,1306,12.018,3.2325
2740,4365,11.104,2.2118
1764,2023,10.677,2.708
1870,2842,17.955,2.541
176,1793,15.827,1.5787
87,993,9.8317,1.7484
92,176,17.983,3.2782
87,1045,18.709,2.4454
1415,2177,17.786,2.9179
1762,5264,11.729,1.9182
798,2713,15.541,1.7849
1611,5231,10.056,1.7942
370,1611,14.92,1.6152
279,1976,15.111,2.4358
2465,4592,15.867,2.4842
2178,2661,7.6168,2.9726
1574,2661,10.275,3.4001
2481,5087,7.7351,2.608
721,2173,18.195,2.6827
2511,5361,9.1589,1.723
721,3099,19.932,2.1973
999,3697,13.309,2.9091
721,2552,21.738,2.3311
2946,3099,6.8602,2.3807
2552,3099,13.522,2.1807
2552,2712,12.84,2.6211
1713,2552,15.582,2.0047
448,5371,8.8902,2.5723
1731,2284,10.26,2.2404
578,1713,13.433,2.1333
461,677,11.705,4.4004
2284,2618,11.166,2.5294
1236,3614,10.52,2.5975
2618,4339,9.7307,1.7322
1108,1200,20.4,1.7046
1299,1603,17.031,3.4556
1108,5438,18.02,1.4432
3562,5957,9.0409,2.0988
77,123,31.883,1.5817
901,1776,11.819,3.0292
403,1776,13.185,2.9569
700,3021,8.211,2.7782
197,217,17.395,1.9138
10,3563,14.273,2.8542
3563,3607,9.3617,2.6469
3441,5959,10.585,2.3843
98,458,13.662,3.7397
802,897,10.547,3.9181
228,1860,9.6242,2.957
210,331,19.324,2.1821
129,235,18.412,3.343
2023,4365,8.6241,2.695
1415,3357,15.748,1.9761
237,253,10.584,5.2286
92,1045,13.879,2.4247
4054,6023,15.585,1.7984
1481,5891,6.3799,2.15
459,4054,13.129,1.5827
480,632,9.7297,2.8704
5264,5963,7.9801,2.2733
480,4958,19.855,1.6351
1762,3590,12.307,2.679
473,3590,13.146,2.9304
2556,2713,12.757,0.83825
4047,5231,7.6538,2.5126
2919,3266,13.702,1.3241
1976,2178,8.7213,2.744
1573,2176,12.857,2.1776
462,3951,29.011,0.82864
2481,2991,13.07,2.4362
2173,4584,9.4665,2.1904
1077,1574,11.336,2.8683
2116,2351,8.6525,3.2513
2511,4620,15.268,2.2943
966,999,16.582,1.7477
2284,4398,9.8165,2.4327
3022,3564,6.9729,2.3305
3022,3983,8.5306,2.8004
4005,5232,9.82,2.0682
700,1776,6.8662,4.0953
123,2174,14.329,2.7308
22,65,25.204,2.618
2345,5959,14.52,2.1215
244,898,13.197,3.6499
48,898,20.131,3.4866
48,994,19.841,1.9754
331,993,16.828,1.0431
9,331,11.153,3.5305
9,371,15,3.571
3727,5891,10.696,1.7037
4054,4438,9.1644,2.5937
3692,4438,10.475,2.662
2556,3692,13.094,1.9034
798,3435,7.5897,2.5534
462,2919,11.379,2.8793
1573,2173,8.2803,3.6016
425,4584,14.165,2.3507
2116,3951,6.9473,2.6248
4592,5961,14.971,1.4047
1264,1335,7.6914,3.8383
1978,4597,11.132,2.2352
1486,1713,9.4817,2.4154
2060,2380,20.332,2.1743
5227,5438,10.85,2.4199
4726,5369,8.1869,1.7551
3562,6146,4.6178,0.9766
403,3180,20.762,2.7133
366,861,23.81,1.4628
2174,3599,10.72,2.3893
26,426,18.266,1.7698
2345,4045,10.534,2.5586
3607,4893,6.9037,2.7817
242,1859,17.513,2.5363
48,859,20.724,3.7773
48,129,19.836,5.0301
3727,3969,9.9207,2.9044
480,3969,17.184,2.9795
4047,4792,6.4909,2.5449
3266,4784,8.9961,2.1471
370,2216,12.353,2.2276
2351,3951,15.85,2.6725
1264,2511,10.953,3.286
2217,4593,9.6169,2.2122
578,6024,14.04,1.5767
388,3983,14.348,2.7674
1236,1864,14.253,2.8949
366,2795,11.436,2.3537
586,3599,13.586,2.0589
277,1126,19.736,2.6964
51,1271,14.371,3.1963
3441,4893,8.3446,2.0821
168,1859,12.025,3.5722
46,859,22.138,2.7125
176,714,16.507,2.5109
1870,2740,14.198,2.3378
2713,3927,10.617,2.6308
3266,4773,14.104,2.5532
728,4584,9.0273,3.26
905,1120,20.793,2.4915
905,3697,12.949,2.8008
266,3098,16.954,2.7585
3098,3421,14.813,3.0527
2380,2552,16.508,2.2535
1200,2553,15.472,2.0478
646,920,11.432,2.2975
57,246,19.684,3.9548
1441,4152,10.479,2.9403
277,1752,13.423,3.046
89,1977,17.139,3.4476
235,484,7.0297,4.6737
458,1870,23.457,1.9659
761,993,11.843,2.7104
176,1295,11.223,2.7687
609,2842,17.75,1.2785
416,3003,7.6621,3.019
459,5264,15.557,1.6403
1041,2465,11.559,3.6747
972,1120,13.23,1.7263
972,3696,15.816,2.9667
905,3696,17.113,2.6701
721,4275,9.9715,2.6991
1264,3768,8.637,2.7959
721,3768,18.781,0.28143
382,3421,16.576,2.5563
4597,5961,15.873,1.487
2157,2217,12.716,2.7476
3564,3983,10.487,1.9996
1108,5227,9.6166,2.0961
317,1930,16.698,2.9409
2976,3180,13.682,2.5439
155,344,11.245,4.0577
366,901,18.044,2.381
65,259,20.9,3.1229
40,484,10.969,3.4101
89,2507,19.09,3.7882
331,761,11.848,3.5629
1295,1306,10.698,3.4964
1870,5823,14.11,1.3898
416,767,14.061,2.9811
473,1632,13.391,3.8764
1077,2991,12.023,2.6918
2178,2603,9.3817,3.0123
1120,2603,9.5978,2.6294
2157,3001,12.607,1.7836
2157,4593,13.116,2.3174
2157,2283,8.5359,1.761
966,2388,10.643,2.4139
1299,2175,19.196,1.6797
1200,6109,11.261,1.9038
11,344,20.371,1.4153
1561,1612,18.242,1.7224
26,46,23.338,3.4805
133,275,13.697,2.9806
98,133,11.742,4.0237
1432,4477,16.082,0.28237
51,859,24.764,2.859
210,2507,9.795,2.7831
424,1710,9.8112,3.1371
176,1710,12.136,2.8711
9,893,13.537,3.9132
401,447,15.808,3.0438
263,3969,14.657,2.4864
1437,4792,8.5313,2.089
798,4098,19.981,2.1217
2603,2661,12.411,2.219
2116,3001,15.429,1.9063
1264,5361,16.254,1.0229
4043,4764,8.5965,2.5553
668,1916,7.4977,3.0894
366,3180,16.119,2.317
121,197,16.024,4.5228
121,217,18.072,3.3956
1908,4857,9.0119,2.0291
713,1752,15.279,2.857
2345,4857,11.028,2.8727
2345,3441,11.592,2.2713
3441,3607,10.982,1.37
802,1977,14.304,2.1105
1432,4893,14.839,2.5493
331,2507,12.596,2.5386
2023,2740,10.048,2.2513
2299,3803,10.179,2.1472
263,480,13.293,3.4509
619,3590,12.923,1.243
2919,4784,7.8387,2.3122
1611,1886,12.392,2.9125
1413,2176,21.69,1.23
2811,3951,17.949,2.2034
2351,2481,10.849,1.7298
1155,2661,10.02,2.0694
1120,1155,15.718,1.8491
2116,5087,10.011,2.702
3564,3578,9.1297,3.1247
1978,4043,12.83,2.2741
668,1468,11.789,2.6866
2060,3561,12.456,2.5237
1108,6109,11.012,2.2644
317,2795,14.995,2.8762
317,1561,16.861,2.502
123,3599,16.278,2.3418
861,1908,11.365,2.3163
51,426,16.656,2.166
108,133,14.043,3.1506
458,2285,11.438,3.3827
458,898,18.084,1.7807
1770,1793,15.801,2.5584
424,1770,21.439,1.9474
619,1762,6.8386,4.1001
1886,5231,10.924,1.9031
462,4773,11.825,1.8037
1041,4098,14.122,2.3984
1574,2178,14.952,0.2842
932,2481,12.372,3.4518
721,1713,20.961,1.7878
4043,4597,9.7389,1.3266
3614,3677,10.307,1.8357
19,2559,16.249,1.8551
1126,1776,9.1184,3.1473
861,1126,14.115,2.4951
77,133,17.8,3.5254
1432,3563,16.228,2.8315
275,2285,11.893,3.6347
98,2285,14.379,2.6418
897,1647,10.684,2.7143
2740,5823,8.6789,2.4552
447,742,13.716,2.3292
253,401,17.239,3.5946
1764,2299,13.899,3.3332
2713,3746,11.357,0.97499
932,2991,11.738,2.6014
1155,1574,6.7234,3.9331
266,972,15.839,2.256
1236,3677,13.762,2.4603
2553,4972,10.468,2.213
1123,3592,10.871,2.6752
4005,4972,10.338,1.7889
858,2559,11.659,3.179
2,13,17.007,6.3488
22,344,15.52,3.5528
1441,1561,17.303,2.3867
22,50,16.658,3.5835
1,40,17.738,4.8113
1,1860,21.57,3.232
244,859,16.288,2.7082
898,1505,12.619,2.7528
2023,4108,8.0006,2.4791
1764,3537,12.954,2.1107
1472,1793,7.8994,4.1387
92,480,16.472,2.5573
2168,3746,9.7929,2.3217
798,2934,8.0771,3.0951
4773,4784,8.9113,2.4905
1976,5422,10.172,2.0837
1573,2216,22.914,1.8376
1574,1632,14.11,2.9753
2217,5087,12.329,2.7364
3696,4241,11.048,2.5512
382,3098,16.166,2.4682
1372,2118,8.4507,3.663
1468,2118,6.5203,3.1697
668,1123,13.504,2.5152
1200,4972,9.6785,2.0092
1200,3197,12.538,2.0784
3562,4041,13.412,2.2287
13,57,28.497,3.0379
1776,3021,10.537,1.0722
50,65,21.803,3.8989
1908,3563,10.433,1.6716
1859,2131,12.898,2.5747
1,235,24.055,0.91834
242,1647,15.174,3.7284
244,1505,8.4406,3.3534
259,714,19.372,2.7802
48,609,19.567,1.3505
424,1295,11.614,2.9168
63,1334,23.729,3.4597
3537,3803,7.5103,2.8403
2186,4054,16.922,2.5947
4934,4958,7.2655,2.8026
3746,3927,9.4349,2.7768
3692,4784,14.313,2.2029
462,3266,18.991,2.4874
279,5422,16.844,1.7308
425,3817,10.23,3.4959
728,3606,12.235,3.3928
1077,1889,11.528,2.9493
4275,4382,3.9484,3.4116
382,1077,19.203,1.929
3768,4382,9.6057,2.6955
2157,3578,6.8683,2.6396
3098,3677,7.6319,2.8755
1299,3596,19.428,1.6112
461,668,12.986,1.9488
3197,6109,7.6757,2.6731
3561,4458,14.355,2.382
1930,2795,10.606,2.3039
14,22,15.588,4.874
1908,3607,15.146,1.995
994,1505,13.831,2.4504
136,609,13.659,3.1869
63,893,12.7,3.7089
1710,1793,7.1004,3.4196
742,3357,15.188,2.1608
1415,1601,17.203,2.5582
1793,2333,24.757,1.619
2186,4438,11.314,2.0453
3266,5264,20.963,1.4381
767,2103,20.316,2.5672
2351,2811,12.006,2.4349
3606,4584,12.041,2.4229
3755,4593,14.777,0.64159
2175,3755,16.607,0.39809
2175,5549,12.355,1.744
3421,3677,12.798,2.4519
2618,2969,9.2418,3.6447
1299,5549,14.394,1.79
3578,3983,10.483,2.0768
13,344,16.989,4.7053
1561,4152,17.319,1.9454
50,197,16.325,3.9944
10,1908,17.882,2.983
168,1432,14.512,2.6763
89,1647,14.001,3.9356
802,2131,9.6499,2.3421
1870,4838,7.4436,2.1741
64,164,15.602,3.528
164,1334,16.306,3.913
2842,5823,7.594,1.9352
401,742,11.767,3.4521
263,2333,16.413,3.4887
2177,2267,16.786,1.8497
1437,2267,12.09,3.0606
473,619,16.779,2.4154
1041,3435,15.977,1.661
3927,4098,9.8682,1.7038
2811,5946,10.8,2.093
4479,5361,8.8064,1.9703
266,382,15.656,3.0371
1916,2118,12.968,2.1232
1486,2060,9.2024,2.5312
1603,3596,17.959,2.9459
1864,3592,7.064,2.3403
1236,1513,11.853,4.0954
11,2559,18.598,1.3917
95,123,29.389,2.3305
22,121,17.712,2.5742
65,121,18.116,3.8188
1752,1977,11.143,1.3248
1908,2345,15.33,2.8933
5546,5758,8.3546,2.3037
168,802,9.3495,2.9919
1,484,12.842,5.0517
802,1647,7.8126,2.2179
458,1505,16.159,2.2002
458,5933,18.423,1.3312
714,1295,8.1795,3.7633
9,761,14.818,3.7929
136,3357,17.844,2.2861
164,893,14.535,2.5526
176,599,21.702,1.5375
92,599,14.98,3.4572
253,742,16.959,3.5449
1601,2842,24.952,0.69794
459,2186,16.704,2.4001
412,5963,16.732,0.28131
2103,3003,13.936,2.4334
4792,5231,12.006,0.97151
2556,3746,14.935,2.3669
932,1632,12.5,2.3571
728,1573,11.78,1.8006
382,972,17.097,2.5674
2157,3755,9.6625,3.1264
2283,3578,11.412,0.66101
1513,1864,6.7708,3.6576
95,646,20.491,2.8892
3,14,21.602,5.41
77,426,27.079,1.9937
1126,1752,13.58,3.7097
98,2080,19.308,1.9972
244,2285,13.301,3.2066
51,244,25.384,3.1584
48,1505,21.82,3.7573
609,1505,18.568,2.8277
3073,4838,10.214,3.0029
761,1306,9.5646,3.5147
371,761,15.858,1.8922
9,63,14.01,5.2173
92,1770,12.677,2.9686
2842,5104,11.26,2.3641
1481,2333,15.833,3.3451
2333,5891,14.27,2.435
2186,3692,17.595,2.3406
480,1227,11.284,3.5689
1320,3969,19.235,2.3416
370,3212,25.362,1.7072
412,3266,18.029,1.3515
412,459,16.348,2.3986
767,3437,14.184,2.8016
370,3437,18.211,2.8479
1574,1976,18.995,2.6565
1155,2603,13.029,1.6203
276,2481,18.657,2.1534
425,1264,14.501,2.2407
2511,4479,10.241,2.1511
905,4241,15.303,1.7345
439,3696,19.544,1.1466
266,439,11.049,4.3743
4398,4620,8.4427,2.2673
439,1372,15.714,2.9967
4398,5114,10.184,1.2843
578,5114,14.642,2.351
2284,2969,11.08,1.7577
668,2118,9.8598,2.7785
2969,4339,15.967,1.6997
388,4005,16.829,2.7308
155,2559,8.743,3.1793
1,46,28.823,2.3185
108,2285,22.602,2.115
3811,5959,14.132,0.28038
210,1647,15.874,4.37
1870,5933,18.163,1.8153
2842,3234,17.336,2.4642
599,1306,17.052,2.9439
87,599,19.295,4.3057
2299,3537,11.452,2.8208
263,1472,23.779,3.151
1320,4958,16.505,0.92479
767,3212,19.177,0.74056
1437,3437,21.154,1.845
459,4784,15.877,1.3476
2934,3927,14.601,2.1123
1886,2216,15.856,2.3817
1976,2603,20.558,1.8786
1413,4078,13.271,2.44
425,4078,17.477,1.6151
1573,3099,21.447,2.5891
972,1889,25.378,1.8451
972,4241,9.8756,2.1675
2553,3983,16.821,0.28207
5246,5438,8.2759,2.0432
1111,1404,11.727,2.6308
14,57,24.766,1.8421
14,800,19.11,2.4388
123,145,25.771,3.2755
51,2080,18.39,3.0254
242,2131,16.189,3.3095
48,136,15.26,4.0002
136,742,15.958,1.7316
3234,3357,16.671,1.5803
599,993,16.041,0.71771
1472,1770,17.141,3.386
1601,2177,15.201,3.6111
412,5264,15.368,2.4293
3692,4773,14.238,1.7194
1077,1155,11.623,2.0027
1573,4195,8.4787,2.7161
905,999,11.766,3.7065
3755,5549,10.965,2.4633
2969,4398,12.885,2.0034
1486,2380,18.456,1.8493
1123,2118,10.244,3.4134
1494,3607,14.562,1.104
51,644,20.334,3.295
65,653,11.931,2.1128
3441,3811,7.2526,3.2812
1505,2285,14.916,2.5966
714,1710,11.558,2.5741
48,742,9.6005,4.7025
1295,1710,9.6031,3.1173
9,87,20.7,4.2018
1601,5104,15.431,1.9328
74,1045,15.379,2.3163
1135,2299,15.105,3.1022
263,1227,13.904,2.4596
1437,3212,13.826,2.4095
1227,4958,11.628,1.8881
473,3669,9.9142,2.5192
2919,5946,11.827,2.3121
972,1155,15.022,1.8115
1264,4479,13.048,2.5604
1731,4620,13.705,1.667
578,3768,14.899,2.235
439,2118,14.075,3.5618
1916,2546,10.682,3.1987
1731,2969,12.58,2.6221
3596,5549,10.944,1.8023
388,3596,17.118,2.9267
1513,3592,7.1459,3.2302
1172,1930,10.877,3.8071
1172,2795,10.585,1.2317
1561,1930,13.893,2.7183
1126,1908,16.033,2.0321
65,931,15.676,1.6031
1494,4893,13.233,2.6099
1432,1494,9.4187,3.1243
259,653,15.799,3.2137
2023,2299,17.303,1.8918
1472,2333,18.95,3.2256
63,6023,27.208,0.27796
74,87,17.039,3.2941
726,1472,15.961,3.0441
263,726,9.0855,4.583
1227,3969,12.297,1.9441
416,3212,14.227,2.7822
4667,5264,13.171,1.2287
619,632,23.531,2.6189
412,4784,14.187,2.5528
2168,2635,15.215,2.416
1886,4792,13.136,2.2398
728,4195,12.239,0.54851
276,1889,18.83,2.6808
972,1077,21.706,1.6773
439,4241,9.4003,2.6003
966,3629,14.431,2.2664
3421,5549,10.217,1.6092
388,3578,17.229,2.5827
95,1111,22.325,0.66182
14,344,16.876,3.3624
1908,2819,12.637,2.4645
48,253,18.893,3.193
1764,4108,12.65,2.5012
2267,4792,12.119,1.7571
619,4667,7.6322,2.4516
619,3669,11.94,2.8664
2654,3437,9.3609,2.9026
370,2654,15.805,2.2891
932,2811,14.102,1.9698
425,3606,18.814,2.5301
276,932,21.728,2.463
721,3606,12.366,2.5458
1731,3629,9.8709,2.6418
2551,4275,8.458,2.6541
1731,4479,13.986,1.4036
2388,3629,11.2,1.8891
999,2282,10.38,2.3963
677,2282,10.6,3.3308
1486,4458,13.501,2.0229
4972,5560,11.806,1.3308
668,4041,14.303,2.0888
5227,5246,9.0553,1.8214
1236,1603,22.871,1.4927
77,145,22.167,0.92635
861,2819,18.364,2.6808
1126,2819,17.517,2.2554
955,2174,24.434,1.0704
133,2080,11.655,3.0591
89,311,16.073,3.9486
3811,5546,10.61,1.3157
168,2262,7.6115,3.1192
311,802,14.809,1.8052
4838,5933,13.239,2.1967
609,3234,10.282,2.839
63,164,14.512,3.0164
2023,5823,15.504,2.0151
480,1770,11.869,2.7887
447,2177,21.468,2.2607
263,1770,11.802,3.6722
416,1135,8.6113,3.5466
1762,4667,17.7,2.2484
416,2103,18.577,3.1219
2168,4680,10.098,1.5199
2556,2635,17.646,2.0444
767,2654,15.343,1.2528
2216,2654,8.8138,3.1644
4934,5422,13.639,1.8464
1573,1668,11.043,2.1257
932,1077,17.316,1.7832
1120,5310,11.744,2.1083
972,5310,8.9343,2.4035
3817,4382,7.7518,2.7809
1264,4382,9.6741,2.8021
439,972,16.613,2.4304
3578,3755,10.4,2.1645
461,2546,17.858,1.3376
5414,5560,15.54,2.1729
697,2174,25.602,2.9295
50,121,7.8172,4.9775
10,2918,14.213,2.6646
341,3441,20.18,1.6851
1494,1908,12.878,2.943
46,644,20.338,2.4283
802,2262,10.878,1.647
164,210,16.701,3.7773
3073,3234,8.193,2.7368
1870,3742,16.583,2.073
2740,4838,12.152,2.2792
726,1770,8.8737,4.1143
263,2615,11.703,2.4788
2615,3969,10.859,2.1241
2177,3241,19.301,2.7499
4784,4952,14.912,2.4071
1041,2934,15.252,3.167
2934,4098,9.6841,2.5501
1335,4078,18.451,1.8891
2116,2811,11.511,2.1076
3606,4195,7.6342,2.3756
2946,3049,11.419,2.9862
425,4382,15.62,0.97132
2551,4382,7.7514,2.8394
2551,3768,9.2736,2.429
266,2118,11.531,2.0482
388,4609,8.7752,3.3283
2826,4972,10.025,2.2262
4005,5414,11.803,2.2897
1111,1853,13.77,2.6916
366,3701,14.729,2.9009
3599,4146,18.047,1.5654
697,3599,18.538,2.0892
108,955,27.96,1.9998
121,931,11.702,3.8552
341,2345,20.357,1.9081
1432,1908,16.252,1.9628
133,244,17.054,2.3483
2131,2262,6.7393,3.4774
228,1529,17.937,0.41602
1529,1860,18.062,1.0268
1295,1331,8.3647,2.851
1306,1331,13.06,2.7238
3537,4108,16.697,2.5565
74,632,17.35,2.3585
1227,1320,12.375,3.6119
3212,3437,18.199,2.4238
3746,4680,5.7877,2.5528
1335,3817,12.467,1.783
3049,3099,11.135,2.8254
1978,4343,14.944,1.1048
2802,3983,8.275,3.3499
1108,4343,14.866,2.9034
2826,4005,13.613,2.1751
1123,5855,13.133,1.503
3180,3701,15.472,2.829
403,3701,19.732,2.4976
13,14,20.847,4.7659
77,565,15.602,3.8441
213,246,12.767,3.5641
341,4152,12.791,2.3838
1908,2918,10.022,3.1086
1,26,26.427,2.3337
2285,2887,11.119,2.515
550,2507,10.785,3.4925
331,550,12.463,3.4165
2740,6095,10.117,1.6306
2267,3241,12.087,3.4982
412,4667,20.577,2.8841
2635,3692,15.839,1.9759
2934,3435,13.47,2.3354
2635,3746,15.622,2.508
972,1356,17.716,1.7038
382,1356,11.827,2.4194
966,4924,15.353,2.2227
4043,4343,10.283,2.6856
1486,5334,10.072,1.7296
2826,5560,16.24,1.6856
4041,5855,9.2671,2.3151
341,1441,16.198,1.9089
1752,1786,10.484,3.5537
713,1786,12.715,3.6608
168,2918,11.624,3.0582
1647,2131,10.284,3.3549
259,1529,17.255,4.0698
458,2887,17.955,1.4124
1505,2822,9.1901,3.6918
994,2822,13.884,1.6277
63,331,16.279,2.569
1762,3458,11.323,2.8838
2635,3266,17.369,1.9838
2216,2535,13.18,1.9446
2603,5422,15.027,2.0143
2173,4195,15.958,1.8334
1077,1356,18.194,0.28376
4241,5310,7.16,2.4268
2217,5888,9.786,1.9453
3202,4398,15.255,1.7443
3202,5114,12.513,2.3513
2802,3578,11.285,1.7125
388,2802,11.72,2.0305
668,2546,10.123,2.7919
