node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
1,  10.53300000,  78.95300000,  41.61700000, 206.07000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  12.00000000,  44.83510000,  22.00000000,   0.33333333,   0.15326160,  10.50000000,  11.25941506,   0.00308642,   0.09107306,   0.00298562,   0.00397137,   0.03701431,   0.00015265
2,  10.48400000,  25.04900000,  40.87500000,  13.74500000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  18.00000000,  62.61600000,  33.00000000,   0.21568627,   0.08505052,   8.11111111,   8.35622045,   0.00462963,   0.07811778,   0.00623897,   0.00556368,   0.00001085,   0.00022824
3,  10.49600000, 102.72000000,  50.87500000,  36.10000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  17.00000000,  67.81476000,  34.00000000,   0.25000000,   0.11237627,   9.52941176,   9.59638433,   0.00437243,   0.10129484,   0.01912203,   0.01086639,   0.00026743,   0.04981403
4,  10.15600000,  35.84500000, 154.64000000, 186.30000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  12.00000000,  47.51760000,  19.00000000,   0.28787879,   0.13984515,  10.00000000,  10.39009546,   0.00308642,   0.09580838,   0.01263914,   0.00029988,   0.00263028,   0.00000157
5,   9.58850000,  74.69800000,  55.77400000, 199.03000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  17.00000000,  75.36070000,  36.00000000,   0.26470588,   0.13305561,  10.64705882,  11.25441245,   0.00437243,   0.09775476,   0.02253611,   0.00607491,   0.07219683,   0.00030042
6,   9.67540000,  68.82000000,   3.40650000, 144.21000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,   7.00000000,  32.25460000,  10.00000000,   0.47619048,   0.27038036,  10.28571429,  10.32364686,   0.00180041,   0.08916613,   0.00112489,   0.00000079,   0.00318273,   0.00105966
7,   9.43640000,  92.25400000,  68.24900000,  86.39800000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  11.00000000,  45.90055000,  24.00000000,   0.43636364,   0.20789267,  12.09090909,  12.19566759,   0.00282922,   0.10878263,   0.00700080,   0.01086335,   0.00089809,   0.16372966
8,   9.39900000,  26.48500000,  70.27800000,  52.07200000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  12.00000000,  49.81330000,  22.00000000,   0.33333333,   0.15779265,   8.83333333,   8.74470473,   0.00308642,   0.08959145,   0.00509413,   0.00062702,   0.00005726,   0.01251245
9,   9.30300000,  82.14300000,  21.59000000, 167.62000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,  14.00000000,  50.15562000,  23.00000000,   0.25274725,   0.10951316,  11.00000000,  10.88553107,   0.00360082,   0.09829600,   0.02931435,   0.01531670,   0.02650014,   0.00060682
10,   9.24800000,  30.37300000,  66.96700000, 217.91000000,   1.00000000,   0.00203936,  27.00000000,  15.00000000,  11.14578115,   0.67143522,   0.10797287,   8.00000000,  32.10320000,  13.00000000,   0.46428571,   0.21486812,   9.87500000,  10.23244100,   0.00205761,   0.08349798,   0.00091213,   0.00041846,   0.01184889,   0.00002333
