#ID, Diameter,  Xcor,  Ycor,  Zcor
1,3.6745,190.82,41.742,52.779
2,3.6413,169.27,226.26,51.414
3,3.5893,210.97,159.44,197.5
4,3.4639,191.13,74.627,212.39
5,3.4406,183.48,53.053,21.969
6,3.3815,126.27,101.19,149.27
7,3.4713,115.9,205.63,65.087
8,3.3537,63.801,55.261,44.808
9,3.2819,201.35,184.12,218.08
10,3.3552,207.93,190.12,223.41
11,3.3539,8.5488,183.79,3.8859
12,3.3641,74.932,111.68,149.46
13,3.4414,205.98,200.08,225.17
14,3.4148,86.312,25.249,4.3529
15,3.4313,29.234,163.8,15.285
16,3.4259,97.142,26.109,181.68
17,3.3753,30.677,76.001,193.29
18,3.3157,145.24,81.851,131.74
19,3.2611,131.71,121.36,165.65
20,3.2395,13.653,42.911,104.52
21,3.2674,68.849,155.03,159.19
22,3.2798,165.7,94.287,106.9
23,3.3205,151.55,34.806,66.081
24,3.3396,36.27,171.12,70.47
25,3.3596,97.921,5.5601,78.93
26,3.227,204.66,201.29,202.24
27,3.0813,51.048,169.93,128.89
28,3.3697,88.889,71.113,67.068
29,3.1746,28.433,44.856,159.1
30,3.2355,196.23,214.83,158.6
31,3.3538,94.073,109.24,60.589
32,3.1107,60.952,181.55,191.21
33,3.181,145.36,175.52,112.78
34,3.3512,145.56,214.83,203.2
35,3.3869,4.5308,72.906,195.84
36,3.0976,206.14,4.9333,197.36
37,3.1356,21.608,59.619,48.838
38,3.1223,41.458,124.05,77.726
39,3.0782,218.59,178.13,176.15
40,3.2977,47.216,0.1415,167.8
41,3.2639,136.73,47.745,154.2
42,3.076,77.694,18.556,3.8774
43,3.1046,19.442,171.95,180.17
44,3.0952,135.09,161.23,173.35
45,3.0734,23.629,183.54,199.03
46,3.0932,216.34,37.538,220.65
47,3.0423,219.19,160.84,115.31
48,3.0745,99.777,42.818,184.36
49,3.0783,10.612,175.27,32.159
50,3.2148,56.533,8.8031,166.54
51,3.2247,171.78,122.67,123.54
52,3.1019,46.602,5.8106,219.13
53,3.1421,77.944,184.7,68.713
54,3.0083,132.58,127.19,190.33
55,2.9615,184.09,74.853,139.38
56,2.9947,74.569,132.3,183.83
57,3.178,160.75,0.1415,69.476
58,3.2176,201.78,196.06,132.88
59,3.2829,164.28,18.675,194.71
60,3.1896,221.87,210.74,204.76
61,3.0259,74.795,171.34,148.99
62,3.034,71.753,8.5724,164.87
63,3.0648,198.44,144.48,24.774
64,3.0651,210.13,208.7,64.746
65,2.9328,90.407,37.214,55.609
66,3.1893,151.31,30.706,43.296
67,3.0021,3.7722,188.05,2.9704
68,3.1004,79.578,179.61,24.186
69,3.0332,17.146,126.98,121.54
