node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
1,   6.67090000, 204.20000000,   0.13625000, 118.39000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   7.00000000,  21.89800000,   9.00000000,   0.42857143,   0.29316942,   7.00000000,   8.11836697,   0.00072217,   0.06096456,   0.00008434,   0.00000045,   0.00004633,   0.00012280
2,   6.05500000, 210.73000000, 152.14000000, 193.91000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  12.00000000,  28.44560000,  20.00000000,   0.30303030,   0.14158013,   8.08333333,   8.40469176,   0.00123801,   0.06415084,   0.00146386,   0.00111806,   0.00015018,   0.00000000
3,   6.07390000, 135.09000000,  66.92900000,  82.38100000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  12.00000000,  30.23380000,  16.00000000,   0.24242424,   0.11814903,   8.41666667,   8.51920698,   0.00123801,   0.08919008,   0.03443424,   0.00834187,   0.00261859,   0.07048924
4,   5.98040000, 184.28000000,   0.13625000, 118.32000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   9.00000000,  19.56437000,  14.00000000,   0.38888889,   0.16712559,   8.00000000,   8.30603541,   0.00092851,   0.06559074,   0.00038344,   0.00027542,   0.00015768,   0.00011878
5,   5.93680000, 119.50000000,  65.24000000,  80.68200000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  10.00000000,  24.85645000,  19.00000000,   0.42222222,   0.21044390,   9.50000000,   9.60395591,   0.00103167,   0.08749774,   0.00085755,   0.00090341,   0.00375817,   0.10478370
6,   5.86640000, 206.47000000,   0.13625000, 103.31000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   7.00000000,  20.68310000,  10.00000000,   0.47619048,   0.30821401,   8.14285714,   8.25799808,   0.00072217,   0.06255042,   0.00029025,   0.00001039,   0.00006408,   0.00012951
7,   5.85010000,  52.45000000,  49.49200000, 204.39000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  17.00000000,  38.56678000,  33.00000000,   0.24264706,   0.10703344,   8.94117647,   8.91496723,   0.00175384,   0.06303365,   0.00119704,   0.00005233,   0.00083200,   0.00000020
8,   5.85000000,  98.91500000,  77.28600000,  60.08600000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   7.00000000,  22.55540000,  11.00000000,   0.52380952,   0.31951748,  11.71428571,  11.71863944,   0.00072217,   0.08851651,   0.00416538,   0.00007839,   0.00122728,   0.19049474
9,   5.81220000, 203.37000000,  76.02500000,  86.52400000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  15.00000000,  32.41664000,  26.00000000,   0.24761905,   0.10413433,   8.80000000,   8.74371125,   0.00154751,   0.07517916,   0.00602901,   0.00639386,   0.00026683,   0.00010638
10,   5.78030000,   9.16070000,  11.55000000,  35.42200000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  17.00000000,  44.35210000,  38.00000000,   0.27941176,   0.14931424,   8.64705882,   8.73087858,   0.00175384,   0.05868321,   0.00233704,   0.00035517,   0.00001776,   0.00009694
11,   5.69230000, 215.63000000, 114.08000000, 185.05000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   6.00000000,  12.74721000,   6.00000000,   0.40000000,   0.16570810,   7.83333333,   7.72873201,   0.00061900,   0.06207056,   0.00022398,   0.00029711,   0.00025049,   0.00000000
12,   5.58340000, 127.39000000,  65.47800000,  75.12500000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  10.00000000,  25.45360000,  18.00000000,   0.40000000,   0.20264861,   9.80000000,   9.87256812,   0.00103167,   0.08847530,   0.00474448,   0.00056695,   0.00327623,   0.13484670
13,   5.60450000, 203.38000000,   7.23440000, 112.33000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  10.00000000,  27.10900000,  20.00000000,   0.44444444,   0.25791383,   9.30000000,   9.11441588,   0.00103167,   0.06330867,   0.00026123,   0.00000536,   0.00013319,   0.00017610
14,   5.61180000, 137.58000000,  20.02900000, 158.46000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  10.00000000,  21.61410000,  14.00000000,   0.31111111,   0.13592979,  10.10000000,   9.85012561,   0.00103167,   0.06935709,   0.00502782,   0.00079176,   0.00161306,   0.00008831
15,   5.54540000, 210.77000000,  14.32100000, 109.88000000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,  12.00000000,  30.27197000,  16.00000000,   0.24242424,   0.13973646,   6.33333333,   6.87397153,   0.00123801,   0.06282040,   0.00060755,   0.00106840,   0.00007654,   0.00012817
16,   5.51960000,  85.44200000,  69.28700000,  72.86400000,   1.00000000,   0.00087431,  36.00000000,  19.00000000,  14.52366324,   0.68188729,   0.08299689,   9.00000000,  23.79440000,  12.00000000,   0.33333333,   0.17121999,  10.22222222,  10.16889688,   0.00092851,   0.08941222,   0.02081543,   0.00018328,   0.00373057,   0.09528823
