node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
1,   9.14500000,  64.07900000,  17.64300000, 136.13000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  17.00000000,  63.03624000,  34.00000000,   0.25000000,   0.13794231,   9.41176471,   9.66216894,   0.00275884,   0.08502711,   0.00819941,   0.00107886,   0.12109457,   0.19157732
2,   8.94440000,   5.72510000,   9.50370000, 120.14000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  11.00000000,  33.62204000,  16.00000000,   0.29090909,   0.12068775,   6.90909091,   7.46120640,   0.00178513,   0.07354714,   0.00082327,   0.00117353,   0.00624336,   0.00346524
3,   8.44010000,  40.22800000,   1.63630000, 124.98000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,   8.00000000,  34.47090000,  12.00000000,   0.42857143,   0.24320148,   9.87500000,   9.99589219,   0.00129828,   0.07663893,   0.00049043,   0.00000095,   0.02672144,   0.03339072
4,   7.90360000,   3.54480000,  19.30700000, 132.71000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,   8.00000000,  26.79250000,  10.00000000,   0.35714286,   0.16081453,   8.12500000,   7.87807036,   0.00129828,   0.07215119,   0.00068020,   0.00005463,   0.00726382,   0.00189741
5,   7.91620000,  87.97800000,  43.94600000,  56.57900000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  12.00000000,  44.94070000,  20.00000000,   0.30303030,   0.16135501,   9.66666667,   9.69938163,   0.00194742,   0.08639448,   0.00473579,   0.00061943,   0.00631542,   0.00171936
6,   7.81660000,  49.35400000,  23.00900000, 118.29000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  13.00000000,  35.73791000,  25.00000000,   0.32051282,   0.13052068,  10.53846154,  10.28755739,   0.00210970,   0.08112164,   0.00181759,   0.00855524,   0.07695082,   0.06211919
7,   7.78910000,  73.43800000,  39.62200000,  23.25200000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  12.00000000,  41.27930000,  21.00000000,   0.31818182,   0.15351060,   9.91666667,  10.07903477,   0.00194742,   0.07772942,   0.00405616,   0.00017158,   0.00107748,   0.00009015
8,   7.87350000,  51.53400000,  23.04900000, 129.88000000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  10.00000000,  38.45850000,  17.00000000,   0.37777778,   0.21905050,  11.50000000,  12.00370269,   0.00162285,   0.08123286,   0.00053785,   0.00018122,   0.07914089,   0.11336856
9,   7.58790000,  94.96200000,   9.60790000,  71.82600000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  16.00000000,  55.09460000,  33.00000000,   0.27500000,   0.13366738,  10.18750000,   9.88035488,   0.00259656,   0.08381621,   0.00438868,   0.00018681,   0.03514625,   0.01553214
10,   7.60860000,  53.73600000,   0.13900000,  39.08100000,   1.00000000,   0.00138107,  32.00000000,  16.00000000,  12.74593710,   0.68381794,   0.09470633,  11.00000000,  30.70330000,  18.00000000,   0.32727273,   0.12837765,   8.90909091,   9.23398136,   0.00178513,   0.06832167,   0.00056115,   0.00005421,   0.00071267,   0.00007916
