#ID, Diameter,  Xcor,  Ycor,  Zcor
1,3.9545,170.12,32.2,72.455
2,3.8971,105.37,119.23,3.3178
3,3.726,188.67,0.37715,170.89
4,3.6156,79.858,185.37,110.02
5,3.5877,200.05,186.44,174.22
6,3.7255,194.42,217.46,117.05
7,3.8081,163.65,184.87,164.56
8,3.5955,40.877,2.5263,129.01
9,3.6105,155.72,25.069,92.563
10,3.632,155.77,65.507,136.63
11,3.498,49.846,28.151,163.9
12,3.5039,24.358,178.89,17.324
13,3.5455,76.09,146.79,16.954
14,3.5225,83.675,141.07,122.2
15,3.4739,196.58,107.3,126.07
16,3.6334,94.248,10.883,112.78
17,3.4962,33.008,7.2613,133.96
18,3.4823,143.22,21.432,6.3931
19,3.5083,49.773,0.136,31.408
20,3.5572,57.638,135.1,206.42
21,3.4742,130.39,61.227,34.446
22,3.435,75.696,140.32,187.31
23,3.2984,44.769,148.61,102.39
24,3.425,8.0387,120.34,66.074
25,3.3417,69.714,40.632,14.244
26,3.4648,5.5302,14.472,12.478
27,3.4739,166.64,51.787,7.3413
28,3.4922,84.377,152.63,152.92
29,3.3532,47.768,88.606,108.95
30,3.4262,145.36,118.84,194.58
31,3.2848,21.371,187.83,18.394
32,3.4653,178.28,31.655,161.57
33,3.2508,62.695,117.66,167.4
34,3.2916,27.913,24.311,8.0227
35,3.2674,115.22,203.3,32.223
36,3.3152,145.36,119.35,55.359
37,3.2837,99.088,78.188,78.169
38,3.3738,14.242,165.97,200.67
39,3.3496,28.347,191.85,14.511
40,3.3448,12.919,72.584,79.544
41,3.3141,114.17,86.622,94.206
42,3.2312,162.46,39.56,76.241
43,3.1631,107.54,20.536,55.049
44,3.132,46.104,180.5,37.4
45,3.1865,32.521,158.77,193.24
46,3.3737,215.08,143.89,197.67
47,3.3486,48.863,46.335,187.41
48,3.1393,5.2911,77.688,3.6727
49,3.2006,197.29,145.7,172.82
50,3.2159,215.8,93.907,172.3
51,3.2015,205.18,192.47,122.03
52,3.1525,161.4,166.36,62.982
53,3.1371,146.47,214.51,27.88
54,3.1842,199.73,109.5,207.11
55,3.3632,189.86,47.941,92.105
56,3.1685,183.98,189.98,59.121
57,3.2016,210.68,190.57,111.6
58,3.2699,53.685,122.35,101.55
59,3.3005,177.87,17.733,139.96
60,3.1609,200.39,184.8,126.34
61,3.2381,31.212,114.46,184.86
62,3.2669,188.85,162.69,1.4574
63,3.2037,18.339,62.615,46.065
64,3.2481,205.03,74.663,70.665
65,3.1264,164.4,56.168,17.318
66,3.3081,42.6,125.85,110.43
67,3.2402,61.525,181.8,209.1
68,3.1477,86.871,29.511,81.683
69,3.2013,90.749,184.2,193.26
70,3.2531,123.49,180.51,94.248
71,3.3231,155.54,177.34,59.093
72,3.293,2.6661,16.228,56.573
73,3.1765,16.975,162.06,180.8
74,3.3877,89.45,70.445,25.021
75,3.3483,105.75,128.39,131.67
76,3.1484,15.15,140.28,211.48
77,3.1803,185.71,21.609,120.56
78,3.0226,139.15,202.23,191.9
79,3.1404,110.65,147.53,215.02
80,3.0185,61.607,51.272,4.7418
81,3.1331,154.64,163.01,150.34
82,3.2916,64.424,26.34,173.22
83,3.3422,184.69,141.71,40.385
84,3.1464,129.85,127.66,83.029
85,3.1516,174.73,104.56,125.45
86,3.2516,139.27,99.914,61.608
87,3.1129,199.75,86.872,178.07
88,3.2448,3.3669,69.768,177.61
89,3.4028,98.189,177.09,104.99
90,3.2224,58.09,160.82,66.335
91,3.1331,196.01,95.119,158.67
92,3.3178,47.597,86.632,48.123
93,3.2547,155.41,13.053,162.28
94,3.2744,63.24,133.88,101.19
95,3.12,93.692,119.83,87.106
96,3.2704,93.873,162.87,106.41
97,3.1407,6.4395,64.6,192.78
98,3.2987,77.194,180.25,133.55
99,3.2332,187.55,171.58,57.087
100,3.012,14.808,217.46,25.989
101,3.1517,50.23,40.363,199.41
102,3.1338,87.176,44.924,78.969
103,3.1161,17.093,90.726,6.936
104,3.1328,68.477,173.7,54.335
105,3.1646,140.58,67.794,215.59
106,3.2037,101.42,69.312,141.8
107,3.1459,18.73,146.19,41.976
108,2.9977,152.21,151.64,87.189
109,3.1433,62.738,24.8,130.74
110,2.9423,82.008,134.23,49.912
111,3.1313,8.6563,158.96,189.68
112,3.0966,86.117,133.62,180.51
113,3.0309,145.97,9.9007,3.1197
114,3.2158,93.474,54.701,53.085
115,3.0721,136.88,196.78,153.83
116,3.2218,57.868,107.48,197.7
117,3.1934,161.5,40.867,124.89
118,3.2131,210.48,109.02,52.157
119,3.1363,113.63,61.572,43.315
120,3.151,45.965,98.894,97.802
121,3.25,192.17,112.06,211.34
122,2.9905,174.8,27.575,73.032
123,2.9626,208.47,152.98,4.1926
124,3.093,69.999,190.9,59.663
125,3.1731,210.25,141.36,76.272
126,3.221,200.71,2.8649,105.53
127,3.0877,86.463,152.73,146.2
128,3.0091,80.646,31.475,173.69
129,2.9679,209.55,91.553,7.2307
130,2.9969,83.895,143.17,1.1918
131,3.153,132.88,162.11,86.665
132,2.9783,1.2244,21.935,4.7363
133,3.032,161.93,72.529,48.862
134,3.2083,41.347,15.952,141.12
135,3.0673,39.075,13.274,131.24
136,3.103,199.08,152.71,88.559
137,3.1013,192.19,154.98,147.48
138,3.0829,38.94,102.69,125.57
139,3.1518,76.816,70.717,41.228
140,3.1457,52.221,47.735,26.529
141,2.9605,81.482,206.88,199.49
142,2.9274,100.79,148.38,104.59
143,3.0658,68.044,123.62,182.1
144,3.1361,203.77,104.4,212.01
145,3.1146,188.09,37.238,214.7
146,3.1101,190.57,202.61,87.984
147,3.1145,143.75,125.3,100.67
148,3.0459,44.744,79.366,50.161
149,3.0595,123.44,173.67,167.14
150,3.2504,53.457,15.235,147.69
151,3.2259,192.68,116.44,60.381
152,3.2504,90.721,162.65,163.2
153,3.1566,164.29,104.31,130.93
154,2.9419,59.168,208.74,131.77
155,2.9801,83.89,2.3131,215.87
156,3.0905,83.199,92.089,167.15
157,3.0908,82.368,50.13,70.599
158,3.093,144.4,100.53,105.94
159,3.0104,181.62,185.09,35.206
160,3.2004,191.71,95.227,195.34
161,3.1195,204.45,86.64,49.53
162,2.9914,133.69,148.14,42.601
163,3.0664,59.975,10.199,130.06
164,2.9373,105.4,113.56,44.448
165,3.0875,65.857,176.65,181.56
166,3.1065,30.517,120.28,190.26
167,2.9556,144.58,104.55,215.56
168,2.9836,159.22,161.14,64.065
169,3.1009,30.405,217.46,107.5
170,3.1592,56.852,40.321,141.1
171,2.965,177.26,163.62,213.63
172,2.9815,159.2,179.1,176.35
173,2.9755,92.305,168.51,86.144
174,3.0184,79.306,56.658,66.303
175,2.9589,121.98,142.1,213.33
176,2.9241,111.37,142.39,138.55
177,2.9133,70.333,182.4,128.77
178,2.8715,58.354,152.17,110.84
179,3.1233,185.33,70.902,4.6213
180,2.9568,90.129,126.09,90.945
181,2.9121,34.428,47.737,178.6
182,3.1162,29.736,183.87,136.7
183,2.9136,151.37,69.789,30.358
184,3.3422,198.83,196.8,76.163
185,3.0536,116.83,153.85,24.785
186,2.918,103.5,169.63,54.818
187,2.979,54.466,56.178,27.064
188,2.9548,27.898,160.34,201.2
189,3.0064,185.06,15.966,150.88
190,3.0075,128.8,42.045,122.07
191,2.965,131.83,63.201,66.758
192,3.0666,215.57,117.21,71.09
193,2.9895,68.679,35.023,13.164
194,2.9965,203.65,21.84,20.827
195,3.1269,19.222,85.949,20.762
196,3.0493,77.014,15.873,90.692
197,2.9518,60.521,44.256,14.833
198,3.1039,91.395,96.124,88.8
199,2.9921,35.729,50.69,114.43
200,3.0751,23.745,10.946,9.8454
201,3.0019,77.383,160.07,154.82
202,2.9125,76.558,134.21,100.75
203,2.9206,196.51,147.79,160.07
204,2.8807,191.35,155.7,211.75
205,2.9535,213.93,129.66,25.414
206,2.9712,67.102,67.048,105.63
207,2.8642,81.736,171.76,106.76
208,2.9601,167.36,63.785,4.7881
209,2.9933,78.755,142.99,20.752
210,3.0758,168.25,103.54,214.04
211,3.1123,66.736,178.7,118.98
212,2.9065,57.499,129.35,207.14
213,2.9248,86.594,82.297,15.632
214,2.9382,57.528,176.95,56.758
215,3.0449,105.36,70.11,40.19
216,2.9554,181.23,67.855,194.91
217,2.9542,126.33,89.406,129.34
218,2.872,164.16,80.91,62.696
219,3.2532,101.16,107.74,49.97
220,2.984,114.92,55.1,65.758
221,3.0075,67.64,147.29,208.15
222,2.9521,127.16,141.52,33.864
223,3.0905,162.09,41.752,118.66
224,2.917,90.441,9.0741,126.62
225,3.0243,159.58,173.18,156.05
226,2.9371,138.26,158.97,195.43
227,2.9339,172.09,207.13,204.94
228,3.0253,10.463,217.02,184.77
229,3.0995,57.995,211.18,110.16
230,3.1872,164.35,34.819,58.483
231,2.8756,196.82,157.66,152.18
232,2.8249,135.06,127.98,156.8
233,2.9054,88.263,17.827,151.42
234,2.8612,17.248,204.41,159.55
235,2.9033,105.18,53.175,47.736
236,2.9057,203.59,185.7,167.14
237,2.8513,93.151,158.42,64.86
238,3.0924,39.519,41.424,130.56
239,2.9065,50.729,197.94,18.098
240,2.9358,143.21,99.914,21.409
241,3.1559,130.83,70.989,145.92
242,2.9181,174.42,35.496,124.17
243,3.0511,110.97,53.73,52.088
244,2.8798,112.2,146.78,131.81
245,2.9097,203.61,164.42,49.423
246,2.9285,205.47,36.618,175.52
247,2.9794,185.86,70.778,32.787
248,2.9488,25.976,213.64,103.58
249,2.8172,138.58,94.509,111.38
250,2.9821,39.52,184.22,129.55
251,2.9065,86.848,45.559,56.7
252,2.9788,47.792,54.264,35.301
253,2.9252,201.36,142.64,125.78
254,2.9191,24.07,102.62,1.2156
255,2.9881,151.3,114.66,202.04
256,2.8196,78.743,4.2278,42.839
257,2.8331,10.188,83.105,213.94
258,2.8316,71.411,115.75,118.45
259,3.0171,149.13,163.15,122.21
260,2.9219,47.77,135.81,199.5
261,3.0721,168.91,176.88,136.14
262,3.0076,176.74,47.931,122.56
263,3.0733,2.4453,121.93,87.437
264,2.8461,196.78,146.77,95.87
265,2.9739,181.26,55.688,102.35
266,3.0552,117.77,92.875,99.711
267,2.8155,36.574,32.776,147.56
268,2.9032,165.78,185.1,177.42
269,2.9074,60.259,100.02,181.83
270,2.9062,72,62.151,184
271,2.8139,166.6,87.185,175.03
272,2.9314,181.03,0.59357,39.577
273,3.0166,1.0803,81.918,123.33
274,3.032,1.0087,132.46,117.56
275,2.872,83.097,47.693,216.58
276,2.8798,142.05,31.674,216.6
277,2.8626,198.64,217.46,2.9124
278,2.9953,19.831,55.149,40.852
279,2.9779,13.53,80.716,171.33
280,2.9997,210.2,153.23,111.26
281,2.914,195.72,83.53,16.999
282,2.92,64.982,173.67,49.13
283,3.0149,109.94,72.083,88.047
284,2.8294,121.78,42.805,72.506
285,2.9258,51.884,163.54,172.24
286,3.0183,161.84,180.97,55.717
287,2.902,171.46,10.241,48.644
288,2.7799,177.52,147.29,24.356
289,2.9295,23.075,127.93,202.16
290,2.8004,173.16,25.977,209.54
291,2.9655,168.37,200.64,216.12
292,2.8658,68.138,10.811,147.89
293,2.884,27.894,17.514,1.3154
294,2.9196,6.1194,151.68,28.586
295,2.9151,88.007,180.31,99.439
296,2.9643,61.064,199.37,72.991
297,2.9016,88.355,167.41,40.066
298,2.7888,57.57,135.3,212.57
299,2.9854,13.69,136.04,103.93
300,2.9807,111.45,2.7458,171.57
301,3.0079,156.13,161.08,59.662
302,2.9334,183.95,169.7,64.057
303,2.9987,13.533,95.695,101.43
304,2.8751,212.92,152.14,75.222
305,2.963,209.05,8.134,3.0458
306,2.7738,16.985,1.7684,125.49
307,2.9122,78.298,116.24,141.81
308,2.8969,65.758,171.46,197.13
309,2.8247,107.85,135.01,116.34
310,2.9027,64.509,141.57,120.03
311,2.8944,89.126,100.5,43.204
312,2.8658,206.62,1.4271,164.73
313,2.9403,193.34,144.12,6.6345
314,2.8751,89.679,117.3,61.587
315,2.967,39.821,216.29,100.94
316,2.9299,187.38,73.351,45.308
317,2.9085,49.912,64.328,10.31
318,2.9438,163.8,108.19,45.085
319,2.801,114.14,120.59,81.191
320,2.8004,183.7,213.35,54.808
321,2.8388,187.33,79.805,169.36
322,2.784,11.247,163.86,205.49
323,3.0052,134.54,209.96,124.33
324,2.8336,209.57,90.641,176.66
325,2.9292,203.38,49.843,96.342
326,2.8764,214.11,206.84,93.704
327,2.9437,20.698,173.34,168.74
328,2.9221,64.781,157.13,84.944
329,2.8014,29.75,186.46,114.42
330,2.8743,79.288,173.86,61.839
331,2.8085,195.7,214.24,164.38
332,2.9643,8.8696,89.868,36.173
333,2.9226,162.47,17.956,70.332
334,2.7318,11.847,97.24,211.79
335,3.0326,113.76,70.173,74.251
336,3.0244,172.53,78.061,75.891
337,3.0245,182.79,76.624,82.141
338,2.9255,46.104,87.043,39.359
339,2.905,212.84,186.86,113.83
340,2.9108,119.95,66.203,70.04
341,2.9183,192.57,142.68,103.54
342,2.9358,166.13,176.26,60.502
343,2.95,60.442,157.11,91.939
344,2.9221,194.57,118.87,115.48
345,2.917,93.96,61.203,37.633
346,2.8426,116.91,136.73,212.57
347,3.0099,161.69,7.8853,41.619
348,2.9404,97.312,71.925,171.09
349,2.7815,198.68,161.74,11.888
350,2.83,200.08,50.707,26.974
351,2.8443,116.86,101.08,95.519
352,2.9393,61.264,66.371,13.479
353,2.7308,80.415,105.42,102.95
354,2.7686,215.58,166.89,110.24
355,2.778,114.41,16.126,96.966
356,2.9334,63.101,184.06,49.875
357,2.9357,74.994,141.17,124.13
358,3.0076,210.53,116.14,72.217
359,2.904,187.53,37.4,160.48
360,2.9147,204.1,4.6267,43.672
361,2.7426,37.691,119.54,111.7
362,2.7647,116.01,80.978,5.8664
363,2.7519,86.583,139.11,6.6794
364,2.9372,14.685,200.53,137.49
365,2.7412,127.68,140.45,49.112
366,2.7115,125.55,58.888,37.92
367,2.7286,184.81,42.802,186.18
368,2.9365,149.52,50.861,12.874
369,2.7754,144.62,62.738,8.8206
370,2.7197,87.139,146.47,144.84
