#ID, Diameter,  Xcor,  Ycor,  Zcor
1,3.6454,47.981,44.372,163.34
2,3.692,176.1,12.324,194.64
3,3.6163,56.376,169.7,8.4404
4,3.8307,216.29,167.08,59.698
5,3.571,35.261,66.628,62.447
6,3.5398,4.6414,222.26,11.635
7,3.4032,13.426,9.0591,106.64
8,3.5416,8.0592,129.42,130
9,3.5436,217.12,178.04,165.24
10,3.358,178.66,4.8534,191.4
11,3.5441,196.09,71.593,19.463
12,3.3529,146.67,129.18,216.46
13,3.4243,9.3735,110.59,108.01
14,3.7268,190.15,71.171,28.915
15,3.3262,157.24,202.29,20.432
16,3.4359,5.5572,0.139,6.2965
17,3.4239,114.27,161.17,78.211
18,3.3692,111.53,27.866,123.88
19,3.3447,96.093,45.269,150.29
20,3.4593,120.74,171.8,202.16
21,3.3481,116.25,149.11,28.527
22,3.3729,75.224,79.971,138.16
23,3.3921,87.5,56.049,200.99
24,3.3006,62.306,6.5322,3.4993
25,3.2566,29.282,176.77,159.15
26,3.3201,188.37,81.988,45.932
27,3.2065,20.129,111.54,182.23
28,3.2157,154.47,216.77,106.37
29,3.1532,8.2334,135.21,50.437
30,3.2871,172.14,121.84,201.62
31,3.3007,153.26,57.58,66.803
32,3.3415,18.127,85.15,63.362
33,3.1667,192.73,29.329,180.29
34,3.416,61.307,35.031,185.98
35,3.2051,152.43,28.23,48.454
36,3.2986,179.03,222.26,101.88
37,3.3745,39.814,221.55,74.822
38,3.1484,49.138,140.81,39.365
39,3.0607,9.5606,94.937,58.519
40,3.2233,205.01,196.13,111.22
41,3.3077,27.174,67.602,55.851
42,3.1011,59.046,44.106,164.72
43,3.2227,11.093,80.731,161.1
44,3.2628,183.2,192.5,185.01
45,3.2571,196.29,74.962,30.381
46,3.2707,184.22,165.46,68.35
47,3.187,162.96,222.26,167.27
48,3.1278,59.052,222.26,12.028
49,3.2947,178.78,63.245,170.69
50,3.2242,110.6,189.01,71.863
51,3.1526,214.01,177.18,136.06
52,3.1983,65.964,21.935,138.3
53,3.1619,170.18,143.03,185.63
54,3.2957,180.81,25.579,48.119
55,3.2033,101.22,22.893,2.42
56,3.2302,16.399,126.58,182.22
57,3.2026,89.664,117.36,213.28
58,3.3065,4.7744,78.449,172.08
59,3.2506,10.005,66.068,1.19
60,3.0675,173.93,147.8,161.67
61,3.2422,113.14,70.973,134.94
62,3.0336,85.763,177.74,132.19
63,3.0895,18.496,36.891,219.72
64,3.1172,118.84,11.319,63.305
65,3.2273,136.91,156.89,50.315
66,3.1273,157.76,41.477,136.33
67,3.1784,54.67,155.15,185.56
68,3.1011,98.593,94.604,9.3459
69,3.1845,144.53,182.51,25.758
70,3.1973,152.31,193.94,41.895
71,3.156,113,15.103,82.333
72,3.1606,173.37,189.09,11.015
73,3.1696,214.48,9.7036,69.639
74,3.068,136.09,189.22,50.137
75,3.1691,8.0353,68.526,172.5
76,2.9886,143.03,185.57,202.23
77,3.0411,159.17,129.42,107.13
78,3.2218,50.709,40.19,7.2308
79,3.0998,39.615,0.139,174.8
80,3.3595,113.43,77.559,68.941
81,3.135,165.1,88.879,177.5
82,2.9969,110.23,0.139,9.5442
83,3.2174,114.69,208.83,122.87
84,2.9873,216.41,72.946,179.98
85,3.0729,33.712,78.27,100.55
86,3.0388,47.072,77.392,169.2
