#ID, Diameter,  Xcor,  Ycor,  Zcor
1,10.533,78.953,41.617,206.07
2,10.484,25.049,40.875,13.745
3,10.496,102.72,50.875,36.1
4,10.156,35.845,154.64,186.3
5,9.5885,74.698,55.774,199.03
6,9.6754,68.82,3.4065,144.21
7,9.4364,92.254,68.249,86.398
8,9.399,26.485,70.278,52.072
9,9.303,82.143,21.59,167.62
10,9.248,30.373,66.967,217.91
11,9.2632,85.488,186.13,124.61
12,9.129,115.34,74.634,74.728
13,9.0024,102.74,43.925,27.541
14,8.9309,83.705,65.663,111.5
15,9.0803,29.66,88.633,195.69
16,8.8161,54.287,67.119,76.39
17,8.7709,85.994,0.14125,166.44
18,8.8218,108.33,113.28,65.653
19,8.5495,88.56,39.141,199.56
20,8.7381,83.678,8.6465,163.81
21,8.8021,59.19,3.4117,149.43
22,8.6554,93.864,171.03,117.56
23,8.5424,107.26,123.58,121.66
24,8.6499,75.241,83.518,214.16
25,8.511,123.85,70.466,64.507
26,8.7113,96.9,71.257,39.005
27,8.4964,36.933,79.803,218.74
28,8.5876,92.02,75.509,67.277
29,8.4832,89.98,67.299,197.31
30,8.4332,27.771,57.779,201.34
31,8.5854,157.62,139.77,178.32
32,8.417,125.31,42.488,101.06
33,8.4049,38.243,72.432,197.4
34,8.4191,76.436,16.338,134.29
35,8.5475,121.25,171.21,20.863
36,8.374,179.79,42.476,107.85
37,8.4463,52.85,177.26,192.29
38,8.3677,87.434,180.9,115.03
39,8.2476,74.78,10.563,150.12
40,8.178,10.284,60.859,62.528
41,8.3678,44.009,74.287,210.29
42,8.2901,54.825,80.626,213.69
43,8.0929,25.008,76.134,214.24
44,8.2992,53.141,112.21,123.91
45,8.1055,127.51,172.22,147.93
46,8.1366,99.877,94.412,36.257
47,8.1181,79.507,90.353,125.29
48,8.1976,215.35,27.137,185.46
49,8.082,198.74,118.58,59.805
50,8.1531,89.984,76.297,195.69
51,8.0101,132.63,162.07,66.282
52,8.157,136.07,40.983,115.47
53,7.9577,66.275,107.74,157.21
54,7.9943,84.039,164.78,191.4
55,7.9784,63.441,11.208,157.21
56,8.0872,47.052,101.25,16.915
57,7.9085,82.065,76.416,123.29
58,7.9337,29.547,49.347,4.1189
59,7.9663,37.655,80.651,56.01
60,7.991,60.878,19.166,163.17
61,7.9575,158.02,117.3,87.712
62,7.8808,8.0823,150.42,100.37
63,7.9535,46.102,10.825,138.59
64,7.9908,197.8,9.6401,28.098
65,7.9296,182.12,59.546,92.294
66,7.9407,23.071,144.16,195.53
67,7.8071,103.28,79.763,39.098
68,7.759,103.28,212.6,113.99
69,7.8504,6.6671,219.59,46.42
70,7.8045,97.625,91.127,72.697
71,7.8405,18.223,25.026,8.4258
72,7.7714,140.22,50.984,96.236
73,8.1533,35.31,136.53,184.75
74,7.7508,32.571,69.631,88.855
75,7.9011,69.614,11.682,125.42
76,8.0573,161.03,142.68,166.67
77,7.8877,51.168,109.84,149.84
78,7.8423,59.923,72.993,81.189
79,7.6276,120.49,128.94,139.42
80,7.7509,54.969,172.94,43.368
81,7.6708,21.303,208.92,126.66
82,7.7491,50.055,153.53,187.17
83,7.9034,6.0006,23.52,50.853
84,7.7986,76.192,198.39,84.121
85,7.7152,145.13,57.457,47.866
86,8.6054,58.351,61.609,85.03
87,7.6273,169.91,132.32,60.041
88,7.6855,72.677,55.225,19.357
89,7.7085,105.53,68.428,62.858
90,7.6908,19.363,109.82,91.395
91,8.0437,25.428,123.2,101.58
92,7.6962,75.563,65.508,87.112
93,7.6259,3.8859,221.33,55.764
94,7.5643,88.008,7.5096,150.67
95,7.6001,83.777,60.915,66.759
96,7.6738,30.011,115.06,107.74
97,7.6106,40.76,51.026,90.269
98,7.6115,113.37,159.49,30.159
99,7.6891,134.72,21.892,75.497
100,7.6778,170.94,225.86,203.19
101,7.6514,203.24,225.38,89.903
102,7.6703,144.09,123.55,195.32
103,7.6697,165.49,194.86,125.1
104,7.6271,182.35,138.47,90.46
105,7.5874,30.748,113.16,27.855
106,7.5614,117.41,151.2,33.186
107,7.4891,65.087,61.135,79.775
108,7.5995,46.655,184.29,198.48
109,7.5231,201.52,79.473,179.51
110,7.6411,37.173,49.272,121.18
111,7.6737,18.31,205.31,138.47
112,7.4108,164.01,91.1,156.35
113,7.6411,48.2,65.033,89.302
114,7.6699,85.04,84.515,222.7
115,7.4293,80.952,112.56,156.98
116,7.6526,105.98,88.821,74.307
117,7.3959,36.272,89.993,78.397
118,7.5741,85.877,58.908,190.84
119,7.4007,79.793,213.19,115.39
120,7.4236,34.051,144.44,43.916
121,7.3913,3.2749,26.699,184.08
122,7.4072,81.229,142.75,85.456
123,7.3886,165.69,15.076,16.773
124,7.4689,52.314,7.1814,130.07
125,7.6051,140,57.91,59.557
126,7.6985,36.888,67.263,94.137
127,7.5161,66.839,154.68,141.25
128,7.344,171.38,10.577,166.79
129,7.3905,33.194,137.93,74.121
130,7.4523,28.454,206.44,138.05
131,7.2919,88.549,52.686,98.715
132,7.3358,72.987,57.197,95.385
133,7.5144,177.37,100.8,167.31
134,7.3589,7.5286,69.377,59.799
135,7.3403,115.63,87.168,218.24
136,7.4288,70.526,98.637,222.74
137,7.8442,98.441,118.77,122.04
138,7.356,29.238,21.293,15.043
139,7.3971,15.955,79.806,210.14
140,7.2607,42.522,122.41,91.38
141,7.4343,137.23,88.96,50.665
142,7.4583,198.28,131.18,136.13
143,7.4229,100.9,71.681,73.097
144,7.2824,9.4637,23.038,201.35
145,7.2965,100.77,40.521,101.33
146,7.2352,101.26,62.817,96.168
147,7.399,198.08,178.17,92.881
148,7.5134,83.095,57.394,46.333
149,7.2601,92.199,162.88,124.11
150,7.2257,69.314,76.435,180.95
151,7.2995,141.99,210.37,218.29
152,7.2436,5.7722,218.31,195.08
153,7.3873,60.17,105.27,109.8
154,7.3975,135.27,120.03,110.53
155,7.2089,149.84,30.083,98.4
156,7.2166,107.54,133.48,143.97
157,7.3502,136.16,110.28,122.49
158,7.2725,75.938,150.1,118.2
159,7.2115,41.14,70.433,184.3
160,7.3716,62.147,33.779,193.02
161,7.4302,147.76,135.61,191.36
162,7.2723,111.99,127.36,58.947
163,7.348,117.83,162.65,213.09
164,7.2515,152.88,118.48,155.52
165,7.2343,32.975,128.43,17.698
166,7.2465,70.999,62.059,73.081
167,7.3265,199.97,107.85,78.136
168,7.1892,171.93,123.03,46.701
169,7.2813,61.779,54.763,98.694
170,7.0856,118.5,189.13,15.41
171,7.3252,57.6,70.992,143.72
172,7.427,139.56,52.418,104.53
173,7.3411,62.181,72.076,208.06
174,7.2508,203.55,131.22,129.41
175,7.0713,84.89,206.64,97.869
176,7.2362,29.041,173.61,195.57
177,7.2468,72.489,62.601,207.04
178,7.146,56.103,158.67,62.32
179,7.0215,166.82,0.14125,165.68
180,7.1926,26.43,86.363,208.26
181,7.1802,128.74,87.162,42.156
182,7.4522,13.84,83.708,37.361
183,7.0587,41.669,92.249,178.65
184,7.2243,108.46,44.519,48.984
185,7.0765,183.26,145.93,178.4
186,7.1471,88.305,52.403,51.648
187,7.1088,34.566,90.854,222.81
188,7.1531,184.38,84.128,49.567
189,7.2498,76.039,71.004,133.94
190,7.1199,79.727,78.438,73.856
191,7.2309,187.34,146.49,70.033
192,7.1667,153.79,72.777,69.528
193,7.0228,183.8,98.174,85.439
194,7.3166,184.47,105.8,94.07
195,7.226,103.29,36.476,49.109
196,7.068,176.69,38.783,98.749
197,7.2734,131.32,88.702,90.526
198,7.079,188.64,8.6053,23.61
199,7.057,95.858,108.88,218.49
200,7.152,123.34,131.12,23.948
201,7.1675,20.223,77.269,92.375
202,7.2055,22.88,110.52,112.27
203,7.1348,59.013,59.794,136.05
204,6.9933,114.26,26.654,61.705
205,7.0876,50.33,101.83,164.29
206,7.2234,203.71,79.122,159.23
207,7.0478,152.39,78.387,64.909
208,7.0347,48.173,89.169,215.07
209,7.1191,37.494,22.401,11.519
210,7.0283,90.524,146.82,98.484
211,7.0485,7.4954,112.29,25.361
212,7.1354,8.7398,102.4,11.727
213,7.1039,61.169,207.88,130.93
214,7.1487,209.87,130.68,117.44
215,7.1282,111.52,155.82,47.495
216,7.0383,167.03,148.19,181.74
217,6.9691,98.21,37.69,53.535
218,7.0677,41.198,194.51,149.84
219,7.0448,87.731,99.94,206.61
220,7.1299,38.23,157.12,30.287
221,6.9345,85.768,21.895,154.39
222,7.0767,101.38,123.89,145.63
223,6.9861,116.48,47.88,99.032
224,6.9622,117.94,91.677,208.11
225,7.2066,25.036,109.09,70.905
226,7.0843,176.11,127.74,161.21
227,7.0611,157.21,146.84,213.2
228,6.9522,36.275,110.01,22.48
229,7.071,118.84,97.922,75.946
230,6.9354,105.19,16.573,207.23
231,6.9813,98.801,51.216,165.67
232,6.8962,209.21,55.47,180.38
233,7.0819,176.7,121.19,180.69
234,7.0734,119.56,70.559,83.394
235,7.0344,193.47,82.296,163.96
236,7.0518,187.78,141.74,212.11
237,6.9637,95.62,201.2,74.146
238,6.9521,178.37,98.693,48.113
239,6.9216,41.426,128.07,100.43
240,6.965,114.48,37.176,50.963
241,6.9269,134.64,109.12,112.3
242,7.0698,7.6031,174.95,165.9
243,6.9976,13.937,189.14,186.97
244,6.9391,95.305,84.669,63.67
245,7.0781,18.736,179.95,191.07
246,7.0476,141.43,165.02,60.228
247,7.0935,41.74,199.06,115.54
248,7.1407,71.193,123.44,223
249,6.8928,3.0154,61.188,79.778
250,6.8739,3.0127,84.61,76.391
251,6.8843,80.081,31.737,11.217
252,7.0329,210.27,42.66,191.36
253,6.9853,87.948,204.22,77.263
254,6.9735,131.31,176.63,12.263
255,6.8892,178.09,72.122,67.894
256,6.7812,18.235,176.42,209.46
257,6.9147,78.6,62.81,190.25
258,6.965,31.758,189.33,127.76
259,7.0306,109.71,122.02,112.77
260,6.9791,178.5,196.2,109.25
261,6.874,75.324,99.535,94.249
262,7.022,46.919,91.112,171.42
263,6.9233,108.13,215.77,93.091
264,7.0146,19.281,15.268,80.987
265,7.2061,95.205,25.145,90.075
266,6.9834,70.715,57.525,102.25
267,6.9931,124.4,29.651,64.598
268,6.8859,194.42,87.742,122.77
269,6.9636,51.851,22.629,190.77
270,7.014,67.539,67.753,91.081
271,6.811,86.818,159.78,141.98
272,6.8909,38.836,56.968,138.94
273,6.8373,26.349,91.953,62.257
274,6.8103,212.59,101.56,206.99
275,6.9674,69.816,138.29,222
276,7.1845,114.13,105.93,52.83
277,6.9328,177.09,103.47,61.412
278,6.9782,176.09,130.09,98.59
279,6.7993,49.55,75.827,65.436
280,6.882,90.884,200.64,105.25
281,6.9126,213.98,30.743,11.942
282,6.8916,171.29,191.2,105.5
283,6.8466,18.719,148.21,185.75
284,6.8764,62.358,6.358,15.462
285,6.8572,25.043,78.899,197.28
286,6.8892,71.048,52.747,132.27
287,6.8017,135.47,30.336,95.668
288,6.8253,193.69,5.4529,11.164
289,6.7623,50.696,221.6,155.48
290,6.8356,24.937,85.222,55.256
291,6.7763,143.38,143.11,209.43
292,6.8596,102.46,207.98,127.55
293,6.9062,153.08,177.31,132.3
294,6.7743,110.58,114.31,53.561
295,6.9021,76.515,211.95,200.15
296,6.7476,132.06,72.427,214.83
297,6.8219,216.61,126.99,131.21
298,6.8762,219.36,0.14125,22.353
299,6.8159,178.88,0.14125,123.62
300,6.905,14.236,97.826,29.393
301,6.9076,214.41,222.8,78.94
302,6.883,72.086,173.57,122.65
303,6.7339,68.465,15.101,176.17
304,6.7537,11.774,210.36,115.39
305,6.8207,147.9,64.928,37.398
306,6.8333,193.99,87.413,38.469
307,6.7959,207.86,44.494,208.59
308,6.7669,130.42,125.81,34.006
309,7.1987,3.073,28.53,156.78
310,6.8836,42.844,74.846,223.01
311,6.8996,134.01,46.327,101.28
312,6.6848,83.511,2.1031,92.519
313,6.9548,162.72,167.28,40.476
314,6.6639,187.45,16.232,140.01
315,6.8906,189.84,223.03,84.269
316,6.7531,59.201,105.16,118.79
317,6.7819,63.472,90.748,90.84
318,6.7494,6.9127,121.9,29.031
319,6.8039,36.816,91.865,187.46
320,6.7865,130.1,104.76,223.02
321,6.8514,86.775,26.89,143.66
322,6.7932,35.76,198.97,133.4
323,6.6851,104.68,161.43,195.1
324,6.6769,46.188,64.024,187.44
325,6.8411,69.882,67.202,62.056
326,6.8354,70.678,28.912,221.27
327,6.82,72.167,95.917,189.3
