node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
98,  11.24400000, 182.05000000, 198.21000000, 200.24000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  39.46705000,  16.00000000,   0.44444444,   0.19162327,   9.22222222,   9.49145806,   0.00546780,   0.11311937,   0.00193640,   0.00227206,   0.00403508,   0.00016997
99,  11.37700000, 147.96000000, 234.25000000,  49.69300000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   5.00000000,  21.95910000,   6.00000000,   0.60000000,   0.24475095,   6.20000000,   6.61592688,   0.00303767,   0.10668914,   0.00014791,   0.00009898,   0.00012125,   0.00000027
100,  11.32200000, 133.79000000,  59.37500000, 158.18000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  12.00000000,  65.21560000,  26.00000000,   0.39393939,   0.21386185,  10.50000000,  10.88334846,   0.00729040,   0.15076021,   0.02100882,   0.00315991,   0.01615119,   0.00125195
101,  11.25100000, 169.73000000, 146.37000000, 166.63000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  49.41510000,  13.00000000,   0.46428571,   0.29100498,  10.62500000,  11.14711293,   0.00486027,   0.14008511,   0.00333811,   0.00237252,   0.01681910,   0.00292690
102,  11.17900000, 134.69000000,  31.20400000, 229.26000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   6.00000000,  29.58720000,   8.00000000,   0.53333333,   0.23396204,   7.83333333,   8.33924805,   0.00364520,   0.11428175,   0.00105297,   0.00099126,   0.00071328,   0.00002766
103,  11.40100000,  12.55800000, 224.21000000, 218.57000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  39.97460000,  11.00000000,   0.30555556,   0.14315767,   5.77777778,   5.91943134,   0.00546780,   0.09238368,   0.00275343,   0.00237252,   0.00078065,   0.00012635
104,  11.16300000, 206.09000000, 205.54000000, 180.40000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  43.70320000,   9.00000000,   0.32142857,   0.17851248,   9.25000000,   9.23680646,   0.00486027,   0.11041052,   0.00229986,   0.01049168,   0.00216128,   0.00009669
105,  11.23500000, 140.52000000, 207.37000000, 165.03000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  11.00000000,  52.79080000,  19.00000000,   0.34545455,   0.15292750,  10.45454545,  10.84902294,   0.00668287,   0.14811482,   0.02139311,   0.00470589,   0.02988228,   0.00501560
106,  11.25200000,  48.15600000,  10.46700000, 178.38000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   6.00000000,  38.32960000,   9.00000000,   0.60000000,   0.37491636,  10.16666667,   9.84117236,   0.00364520,   0.11528225,   0.00030799,   0.00002955,   0.00232584,   0.00021137
107,  11.25000000,  84.51700000,  72.12400000, 169.74000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  54.67520000,  21.00000000,   0.26923077,   0.11377919,   8.53846154,   8.79001083,   0.00789793,   0.14606442,   0.01545059,   0.02542186,   0.02412444,   0.00550164
108,  11.28700000,  66.85300000,  26.30400000, 170.72000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  71.67380000,  25.00000000,   0.32051282,   0.18181019,   9.76923077,   9.82049926,   0.00789793,   0.12873455,   0.00917564,   0.00624596,   0.00654335,   0.00047747
