#ID, Diameter,  Xcor,  Ycor,  Zcor
1,9.145,64.079,17.643,136.13
2,8.9444,5.7251,9.5037,120.14
3,8.4401,40.228,1.6363,124.98
4,7.9036,3.5448,19.307,132.71
5,7.9162,87.978,43.946,56.579
6,7.8166,49.354,23.009,118.29
7,7.7891,73.438,39.622,23.252
8,7.8735,51.534,23.049,129.88
9,7.5879,94.962,9.6079,71.826
10,7.6086,53.736,0.139,39.081
11,7.6409,3.5324,0.139,111.52
12,7.5491,14.864,161.98,201.83
13,7.5032,13.581,17.391,110.31
14,7.3985,29.422,10.729,110.22
15,7.3117,109.99,100.45,144.68
16,7.4315,93.894,38.942,112.73
17,7.2232,108.3,31.551,109.16
18,7.2571,72.87,31.023,137.21
19,7.1048,4.1015,0.139,88.527
20,7.1886,68.707,67.963,61.365
21,7.0932,94.886,30.755,154.74
22,7.1435,29.234,6.258,99.107
23,7.0606,96.363,29.834,61.855
24,7.0353,107.46,28.03,138.01
25,7.1957,60.869,25.837,124.72
26,7.1638,45.278,5.1431,137.9
27,7.0277,88.261,87.481,144.8
28,7.0377,85.602,29.939,148.05
29,6.9283,53.258,127.96,120.75
30,6.9701,93.452,53.491,108.24
31,6.8629,216.12,156.13,160.3
32,6.8797,90.155,27.122,110.5
33,7.008,104.92,25.999,143.99
34,6.9488,104.08,114.15,142.56
35,7.0171,98.792,18.901,143.01
36,6.8347,101.65,28.01,122.17
37,6.686,97.169,26.852,140.53
38,6.8025,107.92,39.935,125.82
39,6.9081,7.7551,90.573,20.503
40,6.8416,59.429,3.2613,137.11
41,6.7922,14.385,97.114,28.283
42,6.8511,84.286,34.387,70.008
43,6.6919,59.123,122.16,119.67
44,6.7183,59.604,43.438,42.699
45,6.8227,102.69,48.339,112.25
46,6.7355,54.545,0.139,154.74
47,6.6544,92.103,98.578,121.94
48,6.7038,88.012,9.8057,162.85
49,6.7367,54.04,43.034,122.37
50,6.7042,41.522,15.151,100.04
51,6.5213,54.09,0.139,162.21
52,6.629,84.711,29.12,133.86
53,6.7646,93.371,20.865,166.73
54,6.495,47.417,47.422,218.11
55,6.5241,63.826,32.411,63.489
56,6.5683,201.98,175.08,219.5
57,6.7592,22.225,3.4625,131.22
58,6.8561,118.96,98.158,151.51
59,6.5398,216.43,58.173,181.38
60,6.536,70.746,22.627,127.95
61,6.5921,61.114,64.079,53.572
62,6.6836,119.35,40.504,144.56
63,6.5127,94.431,13.749,62.175
64,6.439,86.91,0.139,52.443
65,6.496,49.862,3.1691,109.59
66,6.4674,45.23,51.596,107.78
67,6.5244,84.594,25.9,74.352
68,6.5013,54.366,58.157,46.335
69,6.3927,26.511,47.384,196.69
70,6.4949,74.394,104.91,95.117
71,6.5156,113.08,104.96,158.51
72,6.3874,64.394,82.694,148.34
73,6.4671,52.319,61.025,52.997
74,6.49,111.78,13.478,82.197
75,6.3984,213.6,81.367,199.42
76,6.4302,52.209,25.485,142.19
77,6.4038,39.603,6.348,176.09
78,6.4045,42.602,58.48,218.32
79,6.3608,83.569,48.83,120.44
80,6.5659,61.157,40.029,139.44
81,6.3752,45.409,41.277,123.1
82,6.2662,75.499,138.6,193.05
83,6.4017,60.007,8.5666,64.061
84,6.3128,70.429,21.04,88.318
85,6.263,188.4,209.22,193.61
86,6.2606,67.455,34.569,218.64
87,6.2561,103.26,0.139,81.651
88,6.3804,133.16,222.26,143.59
89,6.2595,63.496,3.5486,56.601
90,6.4807,42.791,117.89,115.35
91,6.416,124.8,128.72,166.37
92,6.1527,107.42,6.5478,87.13
93,6.396,48.856,58.406,124.51
94,6.3111,57.019,29.588,131.03
95,6.3717,18.302,20.001,188.61
96,6.2207,122.42,57.618,87.426
97,6.2758,189.14,72.18,144.23
98,6.2355,62.215,0.139,178.11
99,6.3731,78.447,59.955,139
100,6.2945,80.617,107.19,107.75
101,6.3023,43.465,70.331,147.74
102,6.1493,38.808,45.441,136.97
103,6.2022,175.82,181.99,207.17
104,6.2511,83.581,15.139,90.38
105,6.365,154.82,181.8,180.8
106,6.3317,28.96,145.72,209.1
107,6.1983,125.52,72.993,92.069
108,6.0911,51.847,0.139,186.44
109,6.3105,194.68,185.98,93.486
110,6.2908,104.96,44.761,151.59
111,6.039,37.663,57.116,5.9886
