#ID, Diameter,  Xcor,  Ycor,  Zcor
1,14.567,206.71,150.36,138.1
2,14.374,91.504,105.3,196.45
3,14.129,81.57,17.712,182.39
4,14.185,122.56,91.517,126.09
5,14.262,63.268,61.985,63.189
6,14.132,86.63,14.522,204.7
7,13.91,98.889,62.518,57.521
8,13.934,65.455,18.948,192.5
9,13.74,134.3,187.38,131.15
10,13.937,99.324,7.8413,21.546
11,13.612,76.612,73.308,60.466
12,13.743,146.03,12.329,91.712
13,13.488,121.49,68.454,63.631
14,13.51,194.85,80.624,44.654
15,13.201,27.675,23.881,97.922
16,13.17,94.247,147.83,188.63
17,13.14,186.21,153.44,161.94
18,13.093,48.824,234.25,93.261
19,13.183,142.84,0.1465,93.757
20,12.882,102.48,29.662,121.17
21,12.882,101.82,160.61,220.13
22,12.761,108.94,161.01,178.62
23,12.642,108.31,0.1465,228.13
24,12.536,217.54,86.594,208.18
25,12.68,135.82,51.42,131.32
26,12.597,88.615,157.85,217.34
27,12.526,80.386,234.05,199.68
28,12.509,24.577,138.47,92.989
29,12.452,108.59,131.2,188.28
30,12.432,81.063,58.183,172.8
31,12.318,156.28,131.7,168.35
32,12.499,151.99,44.851,135.76
33,12.474,200.1,164.53,142.95
34,12.32,148.67,113.15,100.9
35,12.232,153.43,71.282,72.564
36,12.193,206.96,166.32,21.572
37,12.28,67.751,68.122,100.77
38,12.101,111.16,116.78,145.73
39,12.204,137.62,120.56,147.44
40,12.15,128.23,217.55,154.78
41,12.146,211.91,185.02,201.12
42,12.281,151.47,83.449,85.088
43,12.117,192.07,140.73,160.36
44,12.221,129.65,46.234,158.18
45,12.975,210.74,195.61,169.11
46,12.1,97.677,112.02,202.85
47,12.031,163.92,133.46,179.21
48,12.188,182.24,131.41,159.57
49,12.111,88.575,115.79,170.68
50,12.109,107.66,169.3,195.81
51,12.106,32.953,234.25,89.972
52,11.931,68.44,83.627,82.505
53,12.019,31.425,215.41,45.583
54,11.972,29.238,19.445,133.47
55,11.926,12.73,73.111,137.63
56,11.843,114.41,145.16,192.91
57,11.855,98.025,124.07,188.87
58,11.896,85.082,160.67,72.558
59,12.103,99.286,140.05,198.8
60,12.039,49.148,119.83,14.455
61,12.029,176.53,81.757,5.5106
62,11.896,34.482,187.98,19.282
63,11.774,183.61,89.287,23.584
64,11.829,141.42,113.61,126.37
65,11.728,56.646,8.0837,147.23
66,11.854,66.755,6.0374,187.29
67,11.815,163.15,102.44,39.376
68,11.841,176.06,97.97,90.711
69,11.833,93.032,218.02,30.554
70,11.776,90.338,87.364,187.98
71,11.648,200.81,211.41,208.45
72,11.738,229,174.09,66.062
73,11.687,85.772,215.15,223.76
74,11.614,158.92,9.4996,70.105
75,11.624,120.61,165.06,44.168
76,11.694,13.171,141.4,48.224
77,11.502,114.42,160.7,204.33
78,11.767,214.19,72.502,227.62
79,11.626,217.74,0.1465,130.23
80,11.623,188.6,102.47,12.681
81,11.674,190.92,117.21,191.84
82,11.689,33.42,7.5655,197.58
83,11.443,40.912,234.25,100.65
84,11.571,5.5313,181.8,30.283
85,11.842,28.131,163.2,63.877
86,11.511,37.677,151.13,92.721
87,11.472,88.063,177.32,214.63
88,11.394,148.65,40.849,160.71
89,11.555,171.85,33.715,190.68
90,11.601,203.23,154.74,31.348
91,11.416,200.8,3.9135,144.65
92,11.321,101.22,146.61,210.48
93,11.566,204.8,86.18,109.19
94,11.387,111.45,51.176,166.5
95,11.489,180.61,108.11,175.35
96,11.3,18.861,0.1465,154.59
97,11.293,77.822,106.76,117.02
98,11.244,182.05,198.21,200.24
99,11.377,147.96,234.25,49.693
100,11.322,133.79,59.375,158.18
101,11.251,169.73,146.37,166.63
102,11.179,134.69,31.204,229.26
103,11.401,12.558,224.21,218.57
104,11.163,206.09,205.54,180.4
105,11.235,140.52,207.37,165.03
106,11.252,48.156,10.467,178.38
107,11.25,84.517,72.124,169.74
108,11.287,66.853,26.304,170.72
109,11.29,5.1914,53.286,150.69
110,11.194,72.512,191.42,7.5489
111,11.197,88.123,160.13,204.6
112,11.309,31.641,101.9,102.95
113,11.17,25.62,90.437,118.6
114,11.265,218.67,63.569,214.34
115,11.058,10.108,93.653,141.35
116,11.271,55.1,151.54,174.78
117,11.162,96.813,233.47,54.081
118,11.101,71.931,52.376,171.86
119,11.189,182.01,169.78,193.91
120,11.074,114.18,130.52,175.37
121,11.163,189.71,97.217,103.48
122,11.103,225.24,202.27,102.64
123,11.109,28.895,181.62,23.899
124,10.908,8.0566,171.54,24.76
125,11.022,115.22,212.85,134.08
126,11.133,12.243,66.128,177.31
127,11.084,38.883,120.78,217.79
128,11.003,141.31,205.21,99.167
129,11.146,182.72,185.76,119.64
130,10.925,14.246,190.03,19.481
131,11.056,63.727,17.637,142.02
132,10.941,124.4,32.705,225.78
133,11.01,54.286,75.752,144.82
134,10.879,116.77,21.512,115.02
135,10.995,135.22,110.7,93.925
136,10.968,215.28,12.22,82.17
137,10.827,165.4,135.48,195.88
138,10.985,159.94,8.0871,98.267
139,11.015,110.28,16.55,137.99
140,11.028,34.721,89.069,81.892
141,10.852,93.936,90.442,60.212
142,10.879,216.66,207.25,195.93
143,10.879,170.05,118.52,44.021
144,10.948,88.044,207.4,61.917
145,10.972,86.124,25.95,208.45
146,10.892,214.1,0.1465,116.82
147,10.903,69.606,174.67,132.88
148,10.903,55.17,83.107,152.14
149,10.864,27.705,57.035,78.606
150,10.986,64.524,220.6,28.575
151,11.07,186.93,106.3,90.594
152,10.963,224.42,118.27,10.326
153,10.852,173.84,43.495,103.07
154,10.802,112.03,76.377,122.07
155,10.759,116.51,65.213,137.28
156,10.772,135.81,63.728,98.829
157,10.677,142.56,95.366,90.396
158,10.803,190.94,57.605,100.7
159,10.764,154.22,215.17,47.591
160,11.005,184.54,200.48,50.1
161,10.719,136.1,30.626,149.03
162,10.709,108.82,127.93,209.32
163,10.675,64.563,234.25,219.87
164,10.754,8.1048,2.2826,142.55
165,10.679,43.816,185.07,123.17
166,10.658,39.38,25.381,146.95
167,10.73,75.167,149.77,156
168,10.749,82.382,19.419,51.105
169,10.807,15.426,120.7,79.196
170,10.638,28.813,78.339,187.65
171,10.713,73.435,68.784,79.313
172,10.719,31.827,48.497,88.241
173,10.657,111.24,145.42,48.489
174,10.593,145.47,82.198,52.557
175,11.105,129.83,222.4,105.62
176,10.816,40.406,234.25,138.33
177,10.783,102.55,151.92,107.12
178,10.788,42.375,108.41,187.4
179,10.636,115.01,149.93,172.75
180,10.639,86.364,183,131.4
181,10.703,69.091,8.0001,20.91
182,10.74,50.794,175.64,85.828
183,10.803,36.656,213.33,17.434
184,10.691,209.87,66.028,148.77
185,10.721,58.728,94.56,121.55
186,10.686,61.677,156.08,93.817
187,10.562,49.396,222.87,210.53
188,10.695,52.278,7.9597,162.99
189,10.593,229.01,135.76,81.858
190,10.591,23.546,172.44,55.477
191,10.645,120.01,202.03,177.62
192,10.639,124.6,117.63,142
193,10.517,210.55,203.5,220.19
194,10.64,183.27,216.68,218.33
195,10.702,119.43,51.153,193.11
196,10.712,220.19,213.28,223.52
197,10.738,47.958,17.564,123.89
198,10.46,79.83,136.42,229.55
199,10.716,177.8,185.49,191.25
200,10.559,194.77,117.12,25.377
201,10.583,4.8119,83.309,159.93
202,10.61,147.22,28.399,150.2
203,10.666,113.9,188.16,6.1222
204,10.592,6.8847,73.019,125.37
205,10.551,110.49,135.24,225.46
206,10.479,87.801,52.63,120.04
207,10.447,117.58,156.02,39.377
208,10.53,89.843,127.11,136.71
209,10.571,43.119,99.497,192.74
210,10.472,57.377,34.706,4.8682
211,10.569,61.991,180.43,77.913
212,10.726,122.93,93.821,145.33
213,10.485,76.875,168.72,136.09
214,10.551,70.74,65.552,132.75
215,10.505,74.087,159.48,117.93
216,10.593,110.49,63.13,164.36
217,10.502,175.91,34.162,107.51
218,10.469,83.708,85.894,69.306
219,10.469,134.87,87.176,64.795
220,10.423,186.83,19.238,108.33
221,10.568,96.461,37.98,200.7
222,10.53,61.977,106.06,222.79
223,10.587,42.266,85.266,125.04
224,10.422,106.31,234.25,211.08
225,10.444,51.93,80.477,16.035
226,10.425,82.754,95.155,111.42
227,10.309,166.83,19.47,102.13
228,10.378,107.61,217,54.95
229,10.409,184.96,124.32,177.1
230,10.526,202.59,201.57,190.99
231,10.27,112.92,137.27,211.1
232,10.322,214.32,184.72,11.039
233,10.497,103.33,123.94,100.1
234,10.422,131.23,50.559,173.34
235,10.523,222.52,217.36,190.44
236,10.293,87.73,159.25,62.023
237,10.429,23.299,73.453,67.126
238,10.321,215.54,187.13,170.42
239,10.413,56.117,62.521,36.036
240,10.371,91.527,59.342,127.77
241,10.156,219.03,29.453,225.16
242,10.313,147.82,123.7,91.233
243,10.281,164.23,15.641,58.364
244,10.416,147.75,191.62,94.27
245,10.248,98.037,165.94,73.037
246,10.2,27.997,45.018,23.544
247,10.375,10.319,130.61,54.161
248,10.189,33.22,226.62,34.469
249,10.26,104.12,155.44,152.88
250,10.355,40.267,82.831,140.93
251,10.209,169.43,117.91,152.25
252,10.304,180.78,3.3307,79.845
253,10.245,170.9,9.4915,73.201
254,10.301,57.308,22.065,174.91
255,10.157,13.404,107.99,97.972
256,10.191,37.342,216.01,62.611
257,10.221,109.19,23.673,103.22
258,10.104,144.57,49.637,175.7
259,10.105,85.94,34.712,216.38
260,10.332,89.87,234.1,191.85
261,10.111,115.92,72.475,228.95
262,10.229,8.1317,120.21,30.13
263,10.18,227.18,76.051,206.9
264,10.088,142.26,103.85,145.41
265,10.238,208.46,56.649,151.48
266,10.177,225.05,132.58,216.35
267,10.219,178.87,108.13,37.322
268,10.001,8.9216,8.6445,229.84
269,10.099,196.19,85.942,134.58
270,10.21,39.944,222.05,161.38
271,10.14,186.72,208.49,210.89
272,10.135,49.324,27.45,157.85
273,10.249,51.049,159.09,103.55
274,10.297,164.64,59.674,221.22
275,10.092,44.627,223.73,36.128
276,10.073,144.35,184.18,116.71
277,9.9952,51.137,211.68,91.885
278,10.243,65.049,229.94,209.07
279,10.16,41.448,166.93,60.7
280,10.073,57.819,109.68,103.9
281,10.058,226.35,71.62,53.41
282,10.157,86.962,128.19,146.86
283,10.333,47.945,1.1749,103.43
284,9.9934,150.76,42.886,146.35
285,10.018,196.82,166.27,184.71
286,10.034,7.104,30.019,115.32
287,10.088,83.043,83.593,111.39
288,9.9531,108.8,234.25,110.9
289,9.9497,78.068,86.908,171.81
290,10.074,205.67,35.591,220.5
291,10.21,4.5246,113.99,91.706
292,9.9908,4.6129,147.48,188.54
293,9.9841,214.64,25.862,62.517
294,10.041,192.41,84.567,18.402
295,10.079,104.35,115.51,156.85
296,9.9762,46.732,198.42,216.97
297,10.118,124.01,182.15,7.0138
298,9.9117,59.882,17.715,106.18
299,10.09,194.81,89.594,8.2982
300,9.8976,13.916,121.72,91.603
301,9.8957,108.85,197.09,139.93
302,10.059,214.25,200.45,97.39
303,9.8769,95.078,179.42,76.354
304,9.9729,210.16,96.245,52.517
305,9.9914,118.28,145.84,212.34
306,10.055,188.14,144.84,211.92
307,10.006,207.78,7.4228,204.32
308,9.9218,122.37,221.35,121.51
309,10.473,17.577,226.43,33.564
310,10.038,75.085,103.68,100.15
311,9.8603,134.28,194.13,163.07
312,9.9557,45.287,220.19,25.822
313,9.8585,199.05,190.58,199.64
314,10.016,228.43,179.04,5.3784
315,9.8175,43.803,164.52,99.436
316,10.134,140.05,77.658,65.398
317,9.9389,208.97,17.077,50.227
318,9.9471,156.14,88.926,46.727
319,9.8209,17.127,71.39,85.129
320,9.9511,47.333,216.75,83.861
321,9.95,188.53,176.06,145.16
322,9.9657,207.83,14.726,215.3
323,9.8947,40.613,18.234,199.07
324,9.9817,208.73,198.05,25.895
325,10.025,17.514,158.22,17.141
326,9.9471,210.03,168.11,73.976
327,9.8604,229.82,80.964,51.759
328,9.9162,98.387,230.18,215.27
329,10.004,106.82,150.93,184.56
330,9.8041,22.664,195.61,49.967
331,9.8621,63.083,29.1,112.4
332,9.8959,219.97,0.43284,46.062
333,9.9524,75.876,8.6803,141.93
334,9.8622,175.99,177.79,7.7737
335,9.8431,175.86,158.93,45.851
336,10.016,219.11,8.7929,124.34
337,9.912,143.63,133.46,167.36
338,9.9537,184.31,92.79,48.475
339,9.7693,56.152,111.8,173.01
340,9.9758,215.21,137.04,19.335
341,9.9182,45.679,45.552,83.405
342,9.9468,122.49,140.74,207.32
343,10.114,226.52,122.85,119.91
344,9.7797,14.841,86.244,117.34
345,9.791,218.72,46.162,144.96
346,9.9963,77.941,216.9,212.94
347,9.9857,176.16,152.34,197.55
348,10.023,206.55,10.383,183.11
349,10.067,145.41,21.093,134.19
350,9.8591,188.79,6.5017,197.07
351,9.8324,174.98,73.36,155.74
352,9.6752,105.02,137.86,175.66
353,9.9096,89.096,3.1318,220.44
354,9.7742,171.32,86.833,52.848
355,9.8394,223.22,130.83,33.329
356,9.8497,131.53,210.8,85.931
357,9.7425,200.83,192.58,149.03
358,9.7785,216.31,105.33,32.016
359,9.7725,151.55,111.74,33.879
360,9.6921,131.98,200.51,46.415
361,9.6081,228.12,126.7,22.414
362,9.7959,35.926,186.77,214.5
363,9.6066,112.09,72.55,158.36
364,9.7949,52.862,157.67,213.24
365,9.9531,217.7,209.49,182.58
366,9.7777,171.73,35.005,222.89
367,9.7287,100.14,123.79,172.8
368,9.83,137.64,190.29,51.272
369,9.7247,216.92,160.47,149.95
370,9.6217,25.333,151.08,176.86
371,9.7272,205.76,15.735,131.76
372,9.7134,124.3,3.9781,101.58
373,9.6711,136.7,51.087,207.22
374,9.5833,196.42,9.2409,125.86
375,9.6567,200.22,73.992,180.7
376,9.534,5.7135,234.25,71.617
377,9.7591,33.778,1.1642,107.38
378,9.6307,205.19,83.331,123.74
379,9.577,124.38,103.81,143.71
380,9.5621,60.749,169.21,69.005
381,9.6094,201.79,133.16,191.52
382,9.7011,140.56,64.893,76.133
383,9.7726,128.76,156.22,109.31
384,9.7369,166.71,126.1,93.005
385,9.6034,33.181,33.571,217.86
386,9.7233,134.97,2.0638,21.784
387,9.7671,40.42,230.53,79.472
388,9.6312,192.1,49.924,4.449
389,9.7377,76.438,219.49,31.493
390,9.8004,79.826,23.452,63.164
391,9.5096,114.13,13.641,96.578
392,9.8069,77.349,219.46,46.177
393,9.7665,200.53,177.57,17.559
394,9.5974,124.74,15.905,15.668
395,10.187,75.55,19.693,18.33
396,9.597,228.04,61.946,168.26
397,9.6054,23.364,154.05,63.991
398,9.6083,200.06,163.87,71.343
399,9.4916,134.68,228.11,225.77
400,9.5652,109.49,205.76,147.23
401,9.4964,76.964,0.1465,72.517
402,9.6048,100.58,68.129,195.38
403,9.4978,21.596,24.759,13.049
404,9.7304,75.62,138.01,100.09
405,9.5439,119.19,17.76,230.12
406,9.4845,211.09,61.037,53.441
407,9.5702,173.13,19.433,207.55
408,9.4081,211.08,29.121,128.18
409,9.5949,76.957,106.64,166.26
410,9.4755,217.02,129.01,123.81
411,9.5157,44.586,31.545,151.64
412,9.5484,15.331,67.469,111.69
413,9.5772,75.574,21.58,4.2923
414,9.4991,227.21,157.12,144.96
415,9.5358,193.15,171.34,16.523
416,9.5531,40.288,58.783,173.77
417,9.4736,8.3268,78.139,88.696
418,9.5894,126.61,185,163.44
419,9.5902,45.907,5.9418,96.958
420,9.537,108.81,82.477,228.27
421,9.3809,36.203,3.4189,97.441
422,9.4239,86.563,41.703,190.83
423,9.5401,24.549,12.227,125.35
424,9.4288,132.62,15.602,125.83
425,9.5788,198.96,2.9945,82.824
426,9.4992,125.18,144.38,118.16
427,9.544,33.867,218.28,121.78
428,9.6269,213.46,152.05,45.711
429,9.621,121.13,64.775,152.36
430,9.4646,177.44,44.025,117.72
431,9.3811,49.431,74.852,5.396
432,9.5433,68.641,70.18,124.54
433,9.3471,182.97,160.08,28.864
434,9.5048,7.9273,177.11,184.72
435,9.4509,57.848,183.9,133.36
436,9.4422,163.03,39.041,229.93
437,9.5462,170.02,86.152,86.813
438,9.4811,227.13,148.94,105.4
439,9.599,201.3,189.24,19.123
440,9.4823,5.6543,147.58,210.71
441,9.4095,179.55,33.256,207
442,9.3017,18.86,56.709,42.645
443,9.4938,81.383,130.18,128.3
444,9.4146,85.147,186.88,28.005
445,9.4807,152.01,89.245,31.595
446,9.4566,205.47,181.32,190.28
447,9.3204,153.4,234.25,91.045
448,9.5215,90.018,222.52,96.722
449,9.3551,148.42,200.06,187.33
450,9.4547,95.262,222.3,120.95
451,9.3542,15.65,71.677,44.008
452,9.3049,202.67,22.383,213.48
453,9.2934,49.349,222.59,56.137
454,9.3597,205.34,137.28,131.68
455,9.4798,7.85,49.221,123.26
456,9.2931,133.73,154.85,150.83
457,9.2657,102.74,211.16,141.65
458,9.3061,161.58,165.49,25.92
459,9.3978,156,120.19,157.32
460,9.3959,200.65,158.03,154.44
461,9.371,8.6282,148.54,25.036
462,9.3938,39.386,41.915,6.5241
463,9.242,170.35,132.93,212.61
464,9.3049,215.98,14.516,211.97
465,9.3727,227.9,222.92,20.434
466,9.2823,176.82,71.847,204.71
467,9.1764,134.02,5.1045,9.8369
468,9.4257,217.11,162.24,93.24
469,9.2691,132.65,44.964,214.98
470,9.3169,209.76,192.94,143.12
471,9.3803,57.567,166.82,91.12
472,9.3653,70.466,148.69,171.99
473,9.381,225.21,205.4,41.778
474,9.1735,95.366,215.48,207.85
475,9.3576,168.89,160.68,28.717
476,9.2555,59.661,67.741,50.254
477,9.2303,212.84,20.146,91.247
478,9.1481,88.935,230.69,119.96
479,9.1331,218.4,81.923,125.87
480,9.1768,42.667,146.29,179.46
481,9.3361,216.18,158.16,6.9733
482,9.1924,41.768,132.35,20.015
483,9.1158,121.74,195,141.12
484,9.2429,70.984,115.52,103.04
485,9.1556,217.01,61.046,229.84
486,9.1756,165.08,107.32,150.48
487,9.331,201.49,1.1749,189.78
488,9.2174,205.83,9.043,153.16
489,9.0608,18.036,73.08,117.02
490,9.025,167.73,107.37,97.716
491,9.1932,79.869,162.79,51.524
492,9.2564,13.044,93.171,88.688
493,9.205,65.406,166.96,79.241
494,9.0771,73.118,182.35,18.061
495,9.1867,87.638,170.38,59.314
496,9.136,43.134,47.354,93.039
497,9.2235,179.13,190.24,46.556
498,9.2433,185.75,27.04,173.31
499,9.0085,174.5,60.509,192.93
500,9.1642,147.5,114.34,113.6
501,9.0393,191.48,30.058,110.58
502,9.1774,166.48,143.36,57.584
503,9.1575,5.9792,152.41,163.91
504,9.158,4.1934,42.557,61.906
505,9.2788,10.611,122.25,64.45
506,9.1771,216.17,172.17,210.74
507,9.1918,102.06,198.59,18.809
508,9.138,192.36,166.75,27.087
509,9.0745,202.11,0.1465,206.17
510,9.0374,154.28,0.1465,38.599
511,9.1424,78.26,14.755,34.966
512,8.9704,207.86,218.17,119.13
513,9.1124,50.576,93.342,166.97
514,8.9991,93.339,75.979,22.407
515,9.5317,11.949,19.438,206.78
516,9.0349,140.79,51.64,66.345
517,9.0195,135.2,61.644,58.983
518,9.1913,31.671,138.32,16.277
519,8.9877,81.266,147.78,30.642
520,9.0775,104.07,214.36,44.724
521,9.0325,141.08,206.34,55.847
522,9.1133,186.83,186.39,68.361
523,9.1302,174.75,132.11,30.252
524,9.1105,195.74,156.03,68.415
525,8.954,97.102,192.04,10.431
526,9.2235,229.16,123.8,203.93
527,9.1365,148.08,15.861,22.791
528,9.1667,218.06,104.43,115.73
529,8.9984,18.932,176.79,133.4
530,9.2235,207.74,17.284,163.61
531,8.9647,159.6,126.73,14.759
532,8.9697,105.28,4.869,146.1
533,9.0823,25.051,24.158,213.91
534,9.123,182.75,77.013,213.56
535,9.0303,204.56,1.3064,24.814
536,8.8686,207.9,174.49,93.047
537,8.9896,167.72,114.71,104.54
538,8.9284,161.63,47.873,159.27
539,8.9202,11.841,68.704,77.449
540,9.1258,43.636,176.05,70.137
541,8.9946,191.41,77.495,157.13
542,9.4875,43.367,13.939,9.0708
543,8.9981,35.052,7.1305,145.39
544,9.0816,221.51,66.913,142.57
545,8.9088,48.533,83.369,28.023
546,8.9074,66.327,18.045,20.109
547,8.9582,124.41,207.37,78.34
548,8.8858,70.466,138.46,166.82
549,8.8784,184.7,96.227,145.48
550,9.0945,182.08,184.92,132.47
551,8.9737,76.584,131.39,12.37
552,9.0716,163.89,91.569,230.29
553,8.8999,100.04,87.137,215.83
554,9.0028,117.03,134.96,29.84
555,9.0779,3.9903,148.65,89.956
