#I, J,  Distance,  diameter
1469,1554,11.555,4.4387
96,1554,28.533,3.8049
818,1554,16.027,3.5055
82,818,18.724,5.84
377,423,25.164,4.897
542,1621,19.979,4.048
106,188,17.989,6.7432
542,861,17.951,4.9321
419,421,13.862,8.3479
8,66,17.337,10.406
283,1573,13.623,3.711
298,1325,24.558,4.4232
853,1184,11.613,4.7699
333,1184,12.334,5.3042
831,1146,13.771,5.1033
6,66,35.604,5.5252
6,353,21.368,6.064
401,703,10.477,6.6528
3,6,24.752,9.0832
333,532,34.691,3.9855
23,353,21.592,7.8682
532,843,37.46,4.4326
372,1290,11.371,4.5425
386,923,11.649,5.8958
467,923,15.205,3.638
989,1079,15.142,4.9858
138,253,28.063,5.5858
659,1585,21.671,2.9953
350,1162,20.382,4.4114
1118,1585,12.93,3.7044
252,253,15.245,7.2749
569,659,26.429,3.6229
1014,1101,10.792,5.3883
569,1101,21.66,5.5765
252,425,20.646,5.9502
374,558,12.705,5.5376
91,569,16.355,6.8947
146,374,21.962,6.0333
487,509,20.708,5.5682
535,1249,22.261,2.4611
307,322,13.533,6.1839
79,488,28.693,5.1807
332,1170,14.012,4.8344
348,487,13.153,7.7845
136,565,17.014,7.9024
734,1613,14.598,2.8745
96,164,16.566,8.3568
268,1513,21.275,4.0456
1513,1620,7.5961,2.6545
82,1620,19.571,3.1594
423,1542,17.464,3.232
96,188,43.026,3.1063
96,809,12.575,6.1041
188,818,46.997,2.0341
1345,1621,14.335,2.9544
377,421,10.724,6.4502
543,809,10.524,7.1043
188,809,31.932,3.9857
283,421,15.401,7.049
283,377,14.861,5.8659
65,543,22.525,3.2985
8,82,36.098,7.1522
283,419,8.3008,7.1243
66,106,21.482,7.1701
419,963,29.418,4.1931
65,188,16.635,7.7085
283,1325,25.478,3.6724
181,861,13.162,6.0828
181,1146,27.221,4.6634
401,963,16.9,4.8056
333,853,15.253,5.849
181,831,22.524,4.2998
6,8,26.352,8.4064
401,763,25.889,6.0482
703,1167,23.208,4.7045
10,1146,30.616,3.9774
532,1017,31.072,3.4831
372,391,16.875,6.9967
10,923,28.88,5.3755
532,1263,23.52,4.4977
23,1629,18.889,3.4799
1060,1290,12.993,3.8743
1060,1263,22.362,3.5098
843,1263,23.722,3.2326
19,372,21.77,5.4878
